,N,P2O5,K2O
SWHE,125.9,54.3,106.5
DWHE,120.4,46.2,93.1
RYEM,72.9,36.9,76.5
BARL,101.1,50.5,99.0
OATS,81.8,38.8,87.3
CORN,155.0,75.0,95.0
OCER,129.2,42.1,87.4
POTA,142.3,57.0,242.5
SUGB,297.6,164.9,280.0
SUNF,98.5,55.7,83.7
RAPE,155.9,84.5,47.1
SOYA,204.6,57.8,86.7
OOIL,87.2,46.4,46.4
PULS,98.1,31.7,37.1
TOMA,229.8,80.4,69.1
OVEG,95.7,33.4,28.7
APPL,46.1,15.0,67.0
OFRU,33.2,15.0,28.2
CITR,63.6,15.0,50.7
TAGR,25.6,15.0,40.1
WINE,70.0,35.0,90.0
OLIV,15.0,15.0,15.0
TOBA,101.6,15.0,149.7
COTT,100.0,50.0,80.0
OFIB,60.0,30.0,50.0
GRAS,95.7,36.4,84.7
MAIF,161.0,97.0,210.7
OFOD,70.0,35.0,60.0
SETA,4.8,4.7,4.9
DCOW,85.0,30.0,15.0
BCOW,45.0,15.0,8.0
BULL,35.0,12.0,6.0
HFRS,28.0,10.0,5.0
CALV,8.0,3.0,1.0
SHGP,10.0,4.0,2.0
PIGS,22.0,9.0,4.0
PIGF,8.0,3.0,2.0
LAYS,0.4,0.2,0.1
BROI,0.05,0.02,0.01
OANIИ,0.1,0.04,0.02
