,sigma,eta,eps,rho2
SWHE,3.9,-0.0386255277777777,0.3,7.8
DWHE,3.9,-0.0992516086956522,0.25,
BARL,3.2,-0.20464,0.28,6.4
CORN,2.7,-0.2,0.32,5.5
OCER,2.9,-0.2,0.28,5.7
RAPE,3.8,-0.25,0.35,7.6
SUNF,3.8,-0.25,0.33,7.5
SOYA,2.0,-0.22,0.3,4.0
OOIL,3.0,-0.22,0.28,
SUGB,3.6,-0.12,0.2,
SUGR,3.6,-0.15,0.22,
POTA,2.4,-0.25,0.25,4.9
PULS,3.2,-0.2,0.28,6.4
TOMA,3.1,-0.3,0.2,6.3
OVEG,3.8,-0.28,0.22,7.5
APPL,2.8,-0.3,0.25,5.6
OFRU,5.1,-0.28,0.22,10.2
CITR,4.4,-0.25,0.2,8.7
WINE,2.6,-0.35,0.18,
OLIV,5.6,-0.3,0.2,
MILK,4.0,-0.15,0.25,
BUTR,2.1,-0.2,0.22,4.3
SKIM,3.3,-0.18,0.24,6.6
CHES,3.7,-0.25,0.2,7.3
WHEY,4.0,-0.15,0.3,
BEEF,3.5,-0.4,0.15,7.1
PORK,6.7,-0.35,0.18,13.4
POUL,3.7,-0.3,0.25,7.3
SHGM,3.2,-0.35,0.12,
EGGS,2.9,-0.2,0.2,5.7
FATS,3.0,-0.2,0.22,
OFOD_M,2.5,-0.25,0.2,
