region,BPS,ANC,AES,ORGANIC,COUPLED
DE11,322.7,79.8,85.9,188.3,0.0
DE12,289.1,125.4,76.1,212.2,0.0
DE13,290.8,80.8,37.1,250.2,0.0
DE14,316.3,112.4,44.3,61.4,0.0
DE21,311.9,47.9,82.8,170.5,0.0
DE22,321.9,72.6,97.1,241.1,0.0
DE23,322.9,59.0,46.7,11.8,0.0
DE24,292.1,100.6,74.5,261.2,0.0
DE25,300.6,74.0,47.0,51.2,0.0
DE26,290.9,82.9,22.7,180.8,0.0
DE27,306.1,113.3,70.0,84.3,0.0
DE30,325.6,110.9,38.7,77.8,0.0
DE40,318.2,54.4,20.0,2.0,0.0
DE50,323.4,99.0,70.5,210.8,0.0
DE60,307.1,90.8,14.0,30.9,0.0
DE71,317.5,82.5,56.5,206.5,0.0
DE72,315.8,89.6,55.9,82.1,0.0
DE73,286.0,79.6,21.5,110.3,0.0
DE80,326.7,62.4,5.8,76.0,0.0
DE91,299.0,98.8,55.7,211.7,0.0
DE92,317.3,77.0,81.4,45.1,0.0
DE93,285.6,50.2,72.2,124.7,0.0
DE94,292.4,85.1,15.2,188.0,0.0
DEA1,306.5,74.9,30.2,170.2,0.0
DEA2,302.3,50.0,11.8,259.7,0.0
DEA3,329.4,102.0,26.6,261.7,0.0
DEA4,323.0,103.4,44.9,73.5,0.0
DEA5,289.2,119.2,45.6,54.6,0.0
DEB1,299.6,91.7,17.7,231.3,0.0
DEB2,322.0,103.7,43.2,169.4,0.0
DEB3,313.3,97.7,8.4,112.3,0.0
DEC0,286.5,84.5,33.0,39.0,0.0
DED2,289.6,92.4,17.1,249.8,0.0
DED4,313.2,72.0,59.1,6.2,0.0
DED5,331.9,83.5,78.3,22.3,0.0
DEE0,308.5,84.2,93.8,154.4,0.0
DEF0,307.9,65.2,33.2,140.6,0.0
DEG0,306.1,44.3,82.6,242.0,0.0
FR10,250.3,89.6,10.9,181.5,0.0
FRB0,256.3,98.6,72.7,207.5,0.0
FRC1,248.9,120.4,23.0,10.1,0.0
FRC2,267.9,74.0,83.0,218.2,0.0
FRD1,257.8,123.5,29.1,139.1,0.0
