commodity,world_price_eur_t,unweighted_mean,n_importers
ACQU,2216.72,2151.97,60
APPL,597.66,630.87,61
BARL,158.22,166.18,61
BEEF,3603.16,3751.55,61
BIOD,761.2,796.44,32
BIOE,805.34,840.91,59
BUTT,3847.66,4392.22,61
CAKS,382.89,386.8,61
CASE,6453.72,6176.26,52
CERE,181.42,173.52,61
CHES,5549.97,4934.13,61
CITR,535.04,493.55,61
COCM,3349.2,3479.75,58
COCO,2297.41,2331.51,56
COFF,3453.03,3440.19,60
CREM,2743.86,2720.88,55
DDGS,113.73,119.09,55
EGGS,1171.05,1334.75,61
FENI,313.42,320.88,60
FFIS,2219.13,2081.93,60
FPRI,250.08,250.05,60
FRMI,532.04,581.65,61
MAIZ,175.98,175.53,61
MEAS,2158.74,2387.26,61
MILC,877.02,1151.39,61
MILK,335.6,346.01,13
OAFC,365.75,384.37,61
OANP,638.38,1172.21,61
OAQU,2139.0,2150.5,60
OATS,136.38,147.36,61
OCER,163.53,159.93,61
OCRP,1726.21,2046.23,60
OFRU,888.7,938.87,61
OILP,698.75,756.98,61
OILS,190.77,223.58,60
OLIO,2215.52,2258.05,61
OTHO,1198.7,1212.6,60
OVEG,928.96,934.1,61
PLMO,472.46,488.57,60
PORK,1902.56,1984.0,59
POTA,303.26,309.31,61
POUM,1383.27,1447.85,61
PULS,613.3,606.88,60
RAPC,309.32,306.65,57
RAPE,278.51,277.85,59
RAPO,703.35,701.98,60
RICE,411.42,405.38,60
RYEM,132.91,150.18,51
SECO,392.96,373.34,61
SFIS,2257.63,2176.91,60
SGMT,3713.19,4040.38,61
SMIP,2973.89,2919.63,61
SOYA,157.82,187.75,60
SOYC,398.39,407.39,60
SOYO,644.5,650.76,61
SUGA,342.96,347.75,61
SUNC,329.09,319.15,55
SUNF,303.11,305.87,59
SUNO,640.48,655.05,60
TABO,842.56,889.41,52
TAGR,757.83,898.82,61
TEAS,2325.69,2276.61,59
TEXT,1186.62,1216.02,59
TOBA,3467.86,3357.1,59
TOMA,634.31,683.7,61
TROP,2814.67,2859.21,60
TWIN,2088.74,2244.48,59
VGPM,862.77,885.7,61
WHEA,200.91,177.33,61
WHEP,1257.66,1293.49,60
WMIO,4694.79,4755.99,58
