commodity,Fob,ImportP,ImportQ
ACQU,2231.1691591168,2283.92841736696,174663.149108413
APPL,597.497489877918,621.543196730883,84080.5660786638
BARL,157.491397339161,169.427871203771,136784.220472189
BEEF,3612.1936616885,3744.12092670413,67862.3297818583
BIOD,759.860955082048,793.114529694389,28727.664021129
BIOE,807.67299847836,837.286923321259,82712.1900915598
BUTT,3856.85798137809,3963.35392505436,11599.4952000322
CAKS,382.953977404564,400.164856570617,296922.253292873
CASE,6488.89536272757,6745.10235371082,437.424880281181
CERE,180.844803093395,190.203601792579,2202199.38614585
CHES,5526.09636086599,5681.6743835394,23462.9900206447
CITR,530.157612560027,561.945130400251,141983.352331026
COCM,3260.22556507119,3419.79410257841,4672.49922918619
COCO,2298.30372446108,2582.96424510531,4996.44706674562
COFF,3452.03083877707,3860.71214503531,9662.36858019977
CREM,2721.92448659642,2772.19798899379,3846.61182873041
DDGS,114.569540467272,114.901465511135,60329.0131526491
EGGS,1173.83784992908,1179.4871532043,79000.3744274241
FENI,312.152484671579,317.554190143367,482079.168377963
FFIS,2246.51506009466,2264.30942769131,62139.8712120689
FPRI,250.730745908582,251.329594973271,36043.9318474294
FRMI,536.797125177675,539.158999837143,521470.748763844
MAIZ,175.788143930411,181.48612492602,1202738.13026961
MEAS,2150.05395013472,2203.28003577353,322070.614478559
MILC,897.949632122178,918.131275826026,577069.445766289
MILK,335.922504346851,335.922504346851,165682.11841868
OAFC,361.709729154991,373.296601465331,420507.397277468
OANP,606.459334626387,608.283319124851,244682.492846104
OAQU,2141.60039021411,2204.85280618503,40341.1822877938
OATS,135.650525336467,139.034858099004,24329.0784691638
OCER,162.255963890928,169.668080850401,126786.017873647
OCRP,1722.47605324685,1817.16459359675,37400.1291323646
OFRU,886.905977597171,927.714617447667,423513.750581545
OILP,703.440193022202,752.704936222471,213937.28366793
OILS,191.644954207802,227.896720579028,471022.830983831
OLIO,2231.43429035903,2422.24455127574,3302.3415538236
OTHO,1199.79395507602,1259.55503821279,33647.1963178312
OVEG,926.334542546025,935.088182563679,1038067.02232283
PLMO,471.656739033364,526.942009001095,75536.6568117918
PORK,1888.95980449886,1919.40819920124,117919.583436061
POTA,302.467875677501,305.095215491407,339556.086140028
POUM,1384.91219981304,1416.53047527157,120971.582606596
PULS,610.203936597096,659.372211177354,80951.3111374406
RAPC,310.054614095094,318.433949571854,36269.3845727608
RAPE,279.900126132176,308.661609145042,75455.325876352
RAPO,706.439885954467,733.040958745997,26419.8496919615
RICE,413.012625216886,426.630206603048,471914.122528759
RYEM,132.170775614027,136.473595815873,11384.7664215507
SECO,393.705237962958,411.28175789663,654442.428919279
SFIS,2268.0164922508,2345.0117802119,72182.0956085499
SGMT,3725.04429903992,3775.59504024976,15317.1186540435
SMIP,2957.25172415354,3288.20541486896,4836.34794991653
SOYA,157.131099456734,198.04385045516,347713.089282307
SOYC,398.862499406953,417.439262712846,238867.843431708
SOYO,645.68376386022,659.374671671517,57435.2831403108
SUGA,343.7873436131,371.599421240474,182528.30639052
SUNC,329.889118189946,346.826821431522,21785.0252884034
SUNF,303.266759815504,317.461970403755,47854.4158251712
SUNO,646.568135397767,773.497856969391,17595.956152211
TABO,849.902930060702,881.764170383119,3654.50311700651
TAGR,762.143647628769,808.202833431532,35080.9155635562
TEAS,2328.52722506765,2479.99532341614,7087.4976849756
TEXT,1181.45514939959,1222.42006213111,28535.8524420562
TOBA,3464.12889415292,3731.76437241215,8864.27669030848
TOMA,636.03412471922,652.88387481365,175134.044582709
TROP,2820.78058923587,3117.13658918499,21746.313331921
TWIN,2027.40480719889,2189.29285891938,28224.6819393133
VGPM,860.832783451172,882.678951648779,1929738.83651665
WHEA,199.820995363986,215.606947558637,700177.17263969
WHEP,1249.59827352268,1426.68544012335,3079.44101767912
WMIO,4685.35022184488,5321.82241099771,3663.88687597486
