model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
AT11,51967.82261126345,812.5099249952145,16690.42679049821,61957.781496956326,78375.35443256157,3597.841869906307,58427.46159290319,3149.4284385823007,15144.644107148717,425.2802583323046,57.846632050572005,1279.7466097895465
AT12,52099.5473622602,2142.6091059312316,16598.987634470173,104208.13683439366,83444.60003233081,3567.5055786555213,33029.86865139834,3432.247390745263,19666.510352125588,215.24149496674934,62.13573456820365,1426.3569671939833
AT21,49638.24789470249,5075.206228407075,16599.47812619751,220869.21059736653,47501.31396788275,3546.802320102846,17590.54382429173,3102.28848575257,16119.437194362998,137.0435176799571,75.38932173357458,1253.533141361945
AT22,49096.266867217266,3822.204812098176,16721.147980565107,223126.35319692348,40040.81972868591,3547.6368433178536,16420.139317801928,3243.64517048575,20076.3735511488,112.80979133990184,63.60786980038947,1314.3675443272507
AT31,52753.60709165503,3645.101767979701,16543.243136086072,178995.64909304227,72624.23381969961,3546.477293117556,16553.762278429407,3546.922597901678,20120.18804630164,170.723894884475,60.780693688991015,2143.1910164130713
AT32,51848.417479067706,4114.927506802508,16420.43151508088,294267.3105463679,4685.025499955939,3541.394629943739,3084.9169436156503,3218.9096526377216,14307.507043846164,137.4178804329603,148.45182105911837,598.3815536060368
AT33,51595.96901667491,2973.39408634722,16608.11543949918,286701.56717313844,9671.595810108924,3545.6409144088375,2755.8913368395743,3240.354866462244,14392.74660056038,131.75566058894577,175.970306080798,556.2259644545222
AT34,13941.868288012934,3288.504079265267,6602.887450592664,269188.826615354,14821.570724305388,3541.2258069016384,2464.552215806376,3213.637831309347,5792.400512106392,222.3209387614469,139.62738529554719,499.6059874715582
BE21,38617.85970943492,908.9226448895547,22033.767961597794,40525.44312323093,113481.84210078375,4815.51531625202,26078.195924588013,40430.905854746285,32382.84965353016,4592.846001145349,28.667594424966463,413.67246626210544
BE22,40897.741796492934,1110.6421421588436,20977.75270319341,44513.01252557449,117534.1973722039,4846.920851153357,20776.580917970226,30441.202610159078,26608.0310295001,3275.760544978047,27.3268744416113,920.764559962398
BE23,39632.112383853,2004.8085257357461,21748.03136777169,56216.49422220794,119793.87857839008,4817.579627995535,15113.85722106102,40768.43002776299,28603.157075965493,6989.5377624382245,27.24877436913656,1014.7084961945211
BE24,42014.98936752639,1513.4033430018605,20431.077212318094,66874.02089166106,95006.3972819457,4912.7940822002365,19223.479970442477,26631.043478864944,22490.132319243763,5532.210087664985,27.60141447853576,913.4138839780973
BE25,35733.668310889116,2002.943201976599,22302.09499686071,57693.415307642,109656.75391975297,4844.382357984977,14117.48048193757,44115.46287774903,39557.99022055076,6004.012984963593,26.89837487937239,1060.9782613691716
BE31,44258.655830150194,1314.4097020277427,19096.15341712153,62841.70110388293,88085.17504293723,4989.666050065025,13986.17343422862,22360.677756734356,21389.42359703211,4608.086729176967,27.49742676831561,944.8799904556641
BE32,41189.2028827149,1759.8758932914136,21338.89788532141,82863.84449050354,88752.80951427543,4902.6219648977485,11280.780983188226,36669.3690464879,25406.464860029133,3466.549567015726,27.436946739487887,971.8890654211846
BE33,43945.88134492737,1492.6874488717567,22648.122702630404,144325.07434041423,38888.925970826574,4854.336198753018,8606.129322974215,37861.37625528802,26467.775459702876,2077.651818009571,27.720611538478312,918.1463936028738
BE34,43663.902634206504,3284.4869781808584,22731.90232403659,139718.9617210762,25300.96558806677,4846.303369976096,21935.667810114348,35562.377215587854,23852.144971097845,876.4054593677542,29.612813674046226,676.374072943422
BE35,41861.53670350124,2191.6689242737016,21465.02844387963,110187.99690569325,60901.14440729772,4898.145199156562,12843.532110384116,31657.350476492054,24436.036459694405,1861.4138203426548,28.660718681359654,921.8897453633551
CY00,86226.63826682015,593.6402465227851,143519.61380212824,879.1931874127383,2589.885766148892,5856.943283385126,17113.430871741268,3419.2749846547767,54916.40515263711,1132.647426657985,199.01660205218414,442.8577047032649
CZ01,54049.16319543066,945.239246907486,14647.066932652166,9153.980433170838,83093.23615456793,5375.171427065223,44616.52981164428,3308.243133842569,23022.018390724494,5849.891338323902,22.224849394533468,4195.771852539271
CZ02,47138.65107023623,1625.7097115217287,15948.309481052567,43339.98398020044,96188.63583612899,5351.589309967769,26865.67977470463,3413.2020239004014,36235.24903306399,475.9164664386296,23.64961309468229,4275.617067931285
CZ03,51028.35876851703,3396.161615268942,15818.391738981578,99415.02483913352,79717.83834005966,5327.261293284742,15477.54834233559,3385.265773114533,33210.807603874426,151.40025578131312,23.275494275415113,4190.065553721622
CZ04,52263.8267387547,2477.792770868291,14669.488005903015,155276.38204940176,37392.18741950662,5353.520565156538,14242.917584545108,3171.0067409918174,22305.171810812888,219.60261313589044,23.30425588481992,3918.967824427047
CZ05,53506.41998283807,2657.6654373975307,15528.769763589573,85594.82385176401,74978.92159368133,5323.598744262115,18823.394776656874,3383.933145775432,30863.409676783343,353.5580082890523,23.538237942489307,4182.23020770551
CZ06,51877.47126824725,2076.1717032776214,15884.196515992726,41104.35827153501,100714.30362117107,5336.441443867226,26155.996665359227,3515.5454212956956,34718.271757716444,296.50190283123374,23.909524878929325,4382.0850658435675
CZ07,54034.26260748852,2499.116143343963,15045.735981071373,91872.4479282435,71871.03812258963,5327.551094221215,18866.06800166513,3301.1956838430183,25567.31494088018,371.5753746294617,23.603734584383318,4099.930164206615
CZ08,54197.00875905349,3149.4458888545664,14446.622220162668,124655.28055218408,52835.39611540037,5322.655595967952,12070.54595211098,3232.358203946232,21783.938786616764,224.9906973858666,24.247631718200832,4009.3223079690197
DE11,54245.87780149952,1452.0601945865762,21592.19443386809,186768.6289117723,66711.83949477051,3986.3807547905735,24482.691124308472,2130.9116186314714,19475.827537265013,415.32749695528344,26.425772212878314,2559.7398420682157
DE12,51782.52938962816,1035.854486004218,21822.727852358497,224665.15327592276,37242.63799680279,4039.2812232849624,31777.268516459477,2050.9945503421804,14940.560762712612,468.53778724978196,29.419605859404626,2358.9797244402225
DE13,53543.020977357766,2070.703268657901,21321.65204318781,283887.6276879657,5459.874997839644,3965.8556676811586,22131.219511598654,2103.8946799190308,15210.322925928032,472.8191615812561,28.739399986819024,2458.967620443505
DE14,59618.04199943493,1790.898157743349,21654.853024427026,215260.3925294491,26197.695994160345,3937.5800911012598,17857.162449638545,2206.1726239033296,19326.649996573597,275.5823274534247,25.947685030742928,2710.6530540277445
DE21,54524.499768848415,2167.164346729061,21052.71913443375,203899.73300865412,100102.23033831609,3951.405039916682,20174.110341064305,2276.5888518142215,20191.567535156337,219.40404494327993,25.26892662708042,2956.819363426762
DE22,49196.81349539231,1500.8098663626977,20838.05725874186,147182.97119536137,121677.67873354231,3957.8089837558823,26249.28703591905,2189.0214519357223,21842.33148022981,306.32466302396557,24.56536782062845,2742.4737666137453
DE23,55395.4650197013,2064.9393803039593,21111.233019429266,158252.5254481221,82170.28938172117,3933.545328402262,21361.146058129038,2223.554921795034,19815.845741088197,361.1836547585596,25.071481625153194,2791.566853074112
DE24,55306.365016934,1496.492915760614,21218.902161549824,166069.5545953374,62675.81457404478,3956.3284002808264,25141.56353221462,2162.6748248915396,17803.746757805842,514.446529421392,25.59707457032991,2628.1785895760313
DE25,16154.857874057441,1518.785994762859,6999.692360101952,131237.1298070878,83302.6975107019,3944.7627424028838,18070.825272474285,2174.733826772026,9596.513189398816,301.984725891147,25.777174402392934,2627.72007942043
DE26,50909.37048713456,772.7560764259853,21141.29244721391,182139.05976591562,50883.94949144927,4067.9973402952346,49487.99848512499,2067.5008304380513,15334.221821590234,736.4322675332986,27.047667395807473,2473.710079829506
DE27,57377.81007546455,2368.7148889922673,21211.59095017994,236442.70162893293,49414.056866181534,3925.006231153042,18742.217646726473,2257.606851985724,19459.261703569493,170.01955223224556,24.812310284261116,2888.008955759492
DE40,52717.52558595487,1867.5371711524467,21166.07086926745,140929.48670667925,93348.21998546338,4096.345694389335,34628.026147539254,2149.263412880254,19634.670232021857,345.79098480616415,24.988784977899705,2608.119560043686
DE71,49688.516555911294,1415.91950063956,21522.37887628049,301653.5986702605,32805.14249137411,4005.9406427695703,15480.7183427145,2050.2497603311726,14676.741443615132,723.3999904622499,28.958936708684234,2439.816569897032
DE72,50130.68134849484,1805.0067202782905,21327.570962600264,272775.8122936303,59583.720685934895,3965.577197303552,11352.978411971491,2067.4995951500036,14520.519409904891,384.6024220865527,28.592032351294055,2467.0809039077585
DE73,52781.12331823037,1738.057802092873,21113.931587281637,237038.83789914896,50534.79149674131,3962.1196095786245,11717.143736356344,2139.0531895470485,16896.823144007885,395.56877635135953,25.87521986151334,2592.0829075629176
DE80,53642.51172493277,1596.530745438889,20916.717062829484,163163.39661957364,84991.34212627869,4099.116899806955,21549.938181588106,2174.4201217640634,19886.508343117217,439.39200730640044,24.955795533603663,2695.9436286588425
DE91,51734.29963845619,620.8086430585421,20358.350569973107,159221.74923473902,85654.51171474402,4139.538508276022,38029.65713431239,1974.1429748488035,17042.22031085173,1668.5386793215446,24.220214014507516,2214.3281282691783
