model_region,activity,nutrient,value
AT11,SWHE,N,109.219215419754
AT11,SWHE,P2O5,47.3283266818935
AT11,SWHE,K2O,92.8363331067911
AT11,DWHE,N,108.423519992748
AT11,DWHE,P2O5,41.7631336268361
AT11,DWHE,K2O,85.9356788090666
AT11,RYEM,N,78.5104913104063
AT11,RYEM,P2O5,39.6817315550944
AT11,RYEM,K2O,82.3303215442145
AT11,BARL,N,102.277852552008
AT11,BARL,P2O5,51.4605547431486
AT11,BARL,K2O,100.941857380791
AT11,OATS,N,84.4122608523467
AT11,OATS,P2O5,40.0276352342223
AT11,OATS,K2O,91.3905300037996
AT11,CORN,N,250.594507039751
AT11,CORN,P2O5,120.261311116857
AT11,CORN,K2O,75.1633194480358
AT11,OCER,N,112.832064969094
AT11,OCER,P2O5,36.7743860849621
AT11,OCER,K2O,76.2982589800148
AT11,RAPE,N,144.024662920513
AT11,RAPE,P2O5,78.5589070475524
AT11,RAPE,K2O,43.6438372486402
AT11,SUNF,N,115.594947311605
AT11,SUNF,P2O5,66.0542556066314
AT11,SUNF,K2O,99.0813834099471
AT11,SOYA,N,223.038975483549
AT11,SOYA,P2O5,61.5279932368412
AT11,SOYA,K2O,92.2919898552618
AT11,OOIL,N,41.1809973013881
AT11,OOIL,P2O5,21.9631985607403
AT11,OOIL,K2O,21.9631985607403
AT11,OIND,N,400.0
AT11,OIND,P2O5,320.0
AT11,OIND,K2O,280.0
AT11,NURS,N,400.0
AT11,NURS,P2O5,265.76656125111
AT11,NURS,K2O,241.605964773736
AT11,FLOW,N,400.0
AT11,FLOW,P2O5,320.0
AT11,FLOW,K2O,280.0
AT11,OCRO,N,127.089074608239
AT11,OCRO,P2O5,45.096123248085
AT11,OCRO,K2O,40.9964756800772
AT11,MAIF,N,153.887691600543
AT11,MAIF,P2O5,92.4250400003259
AT11,MAIF,K2O,203.335088000717
AT11,ROOF,N,121.910810647898
AT11,ROOF,P2O5,60.9554053239488
AT11,ROOF,K2O,280.0
AT11,OFAR,N,89.8710220890701
AT11,OFAR,P2O5,24.0875949940255
AT11,OFAR,K2O,51.6162749871974
AT11,GRAE,N,42.2258108430163
AT11,GRAE,P2O5,15.3596684435477
AT11,GRAE,K2O,35.839226368278
AT11,GRAI,N,98.526891967038
AT11,GRAI,P2O5,35.839226368278
AT11,GRAI,K2O,83.6248615259819
AT11,PULS,N,97.1152378432835
AT11,PULS,P2O5,28.4239720516927
AT11,PULS,K2O,33.1613007269749
AT11,POTA,N,158.05708089038
AT11,POTA,P2O5,63.2228323561518
AT11,POTA,K2O,270.954995812079
AT11,SUGB,N,311.285233076222
AT11,SUGB,P2O5,172.936240597901
AT11,SUGB,K2O,280.0
AT11,TEXT,N,21.6563280223276
AT11,TEXT,P2O5,57.7502080595402
AT11,TEXT,K2O,108.281640111638
AT11,TOBA,N,160.79865428429
AT11,TOBA,P2O5,21.4398205712387
AT11,TOBA,K2O,241.197981426436
AT11,TOMA,N,400.0
AT11,TOMA,P2O5,284.618665065332
AT11,TOMA,K2O,243.958855770284
AT11,OVEG,N,146.050278251004
AT11,OVEG,P2O5,51.1175973878514
AT11,OVEG,K2O,43.8150834753012
AT11,APPL,N,79.2485936299665
AT11,APPL,P2O5,21.6132528081727
AT11,APPL,K2O,115.270681643588
AT11,OFRU,N,88.4181247752981
AT11,OFRU,P2O5,17.6836249550596
AT11,OFRU,K2O,75.1554060590034
AT11,TWIN,N,21.6681327990102
AT11,TWIN,P2O5,15.0
AT11,TWIN,K2O,35.3532693036482
AT11,GRAS,N,70.3763514065773
AT11,GRAS,P2O5,25.5994474064767
AT11,GRAS,K2O,59.7320439484456
AT11,GROF,N,20.3594119948504
AT11,GROF,P2O5,11.8032078649065
AT11,GROF,K2O,17.4057070539183
AT11,INTF,N,7.71450088031499
AT11,INTF,P2O5,2.75830660421604
AT11,INTF,K2O,6.43810039098361
AT11,NETF,N,12.6449111145354
AT11,NETF,P2O5,9.04490126069045
AT11,NETF,K2O,10.9676066629347
AT11,NH3HOU,N,1.4806146720761
AT11,NH3STO,N,0.373596863031192
AT11,NH3GRA,N,0.309778614242639
AT11,NH3MIN,N,1.60469516766631
AT11,NH3APP,N,1.28502422893885
AT11,EXPPRD,N,123.460162371353
AT11,EXPPRD,P2O5,52.3983083698953
AT11,EXPPRD,K2O,75.4735989297011
AT11,ATMOSD,N,19.5211047530331
AT11,CRESID,N,37.6220742337606
AT11,CRESID,P2O5,17.3733825891108
AT11,CRESID,K2O,38.4571697319244
AT11,BIOFIX,N,20.3743904457936
