model_region,AGGT,APPL,ARAB,BARL,BEFM,BULF,BULH,BULL,CACR,CAFF,CAFR,CAMF,CAMR,CATA,CERE,CITR,CORN,DCOH,DCOL,DCOW,DWHE,FLOW,FODD,GRAE,GRAI,GRAS,HEIF,HEIH,HEIL,HEIR,HENS,MAIF,NURS,OANI,OAR1,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OOIL,OVEG,PARI,PERM,PIGF,PKPL,POTA,POUF,PULS,RAPE,ROOF,RUMI,RYEM,SCOW,SHGF,SHGM,SOWS,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,UAAR
AT11,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.339507914234,15.339507914234,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.4703617725821,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.1034897693278,1983.306635431,1000.0,1234.34891563385,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,23.1827229921447,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,27.3701133590893,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT12,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2483174371676,15.2483174371676,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.505713328021,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.1376815424494,1983.306635431,1000.0,1234.34891563385,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,24.6356094162785,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,27.3701133590893,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT21,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2383461718145,15.2383461718145,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.5212250028214,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.2211444146181,1983.306635431,1000.0,,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,24.669180187121,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,27.3701133590893,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT22,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2371873734787,15.2371873734787,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.5015777177593,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.2390595538108,1983.306635431,1000.0,,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,24.4901018449737,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,27.3701133590893,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT31,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2175678447987,15.2175678447987,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.4737099377331,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.1419836338314,1983.306635431,1000.0,1234.34891563385,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,23.3842686816362,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,27.3701133590893,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT32,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2369685830419,15.2369685830419,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.5937679492421,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.3220627253042,1983.306635431,1000.0,,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,514.746410235842,24.0239752854304,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,,1000.0
AT33,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.2344855098966,15.2344855098966,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,2207.3885801062,22.5966676588055,1387.63458512051,1349.45789762749,1000.0,134.906725029145,139.913460637022,1551.46133987718,37.6468189915078,1983.306635431,1000.0,,,606.3107213559,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,1523.44168991119,248.741151334253,,25.7502311074937,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,484.640389927131,,391.929403921526,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
AT34,1000.0,228.125215822692,1000.0,125.659633627489,1000.0,1000.0,3792.49197765985,3792.49197765985,1000.0,3792.49197765985,615.959337386094,3792.49197765985,688.119356598206,1000.0,1000.0,391.4,144.264924101488,364.30074245635,364.30074245635,1000.0,176.361446944335,1024.06636845585,1000.0,15.229639771884,15.229639771884,1000.0,1000.0,3792.49197765985,3792.49197765985,1180.84661099222,,22.527386183795,1387.63458512051,1349.45789762749,1000.0,,139.913460637022,1551.46133987718,37.6648914148701,1983.306635431,,,,,345.265161407614,,1000.0,1604.7517965136,1000.0,120.202379873254,,248.741151334253,,28.4321160510941,1000.0,140.279168438551,150.637181065383,3744.29330250614,1512.70631572595,26.64556835218,,,,149.785160834826,,2525.6,84.2877016242072,3845.45181597961,807.627163057612,2288.63708007426,1000.0
BE21,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054124,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,23.594390415371,23.594390415371,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2500193345017,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.6417601406187,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.5786432800957,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,,746.274185159991,2036.79896204865,1000.0
BE22,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054123,4149.60733764177,752.752826281492,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,23.3807764315517,23.3807764315517,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2873868431516,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7171278275344,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.7542912288473,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
BE23,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054123,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,24.2366928456116,24.2366928456116,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2855640450001,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7372746459651,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.5479676645108,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
BE24,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054123,4149.60733764177,752.752826281492,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,23.4383420928087,23.4383420928087,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.2807807688907,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7326626147075,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.6420126460248,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
BE25,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054123,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,24.5653579146702,24.5653579146702,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.3112621458847,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7705997077403,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.6853674906997,1000.0,117.630240146871,164.765653050231,3847.71753304361,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,,746.274185159991,2036.79896204865,1000.0
BE31,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054124,4149.60733764177,752.752826281493,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,22.9266278706029,22.9266278706029,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.3389032814618,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7564675170977,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.4962093735979,1000.0,117.630240146871,164.765653050231,3847.7175330436,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,1883.88288336714,746.274185159991,2036.79896204865,1000.0
BE32,1000.0,582.450739064897,1000.0,141.992341717562,1000.0,1000.0,4149.60733764177,4149.60733764177,1000.0,4149.60733764177,674.234382054123,4149.60733764177,752.752826281492,1000.0,1000.0,391.4,166.053940889713,287.132837077146,287.132837077146,1000.0,,851.931457281394,1000.0,22.8506254212516,22.8506254212516,1000.0,1000.0,4149.60733764177,4149.60733764177,1291.25138921184,666.46127867847,24.3048037611744,1103.19741095158,1099.11440693052,1000.0,87.7611969227512,130.290534025892,1291.73417480408,55.7063601776433,846.008643432988,1000.0,1477.43156112305,,987.674684465695,413.229473805311,,1000.0,1297.46811732528,1000.0,151.963434189084,3165.49130028197,229.7,897.772413872033,16.6293558128811,1000.0,117.630240146871,164.765653050231,3847.7175330436,3075.12126763615,21.7584209441741,,26.3114808473237,,153.22609018528,,2579.197034397,404.31410513983,,746.274185159991,2036.79896204865,1000.0
