model_region,activity,value
AT11,SWHE,52.3064060492812
AT11,DWHE,415.639933169124
AT11,RYEM,59.0873160571501
AT11,BARL,52.4264975641679
AT11,OATS,216.999453140476
AT11,CORN,90.3997388889589
AT11,OCER,123.901745843074
AT11,RAPE,103.417499059152
AT11,SUNF,131.085612496186
AT11,SOYA,107.235542796174
AT11,OOIL,98.3716777568099
AT11,OIND,157574437.186471
AT11,NURS,221403.70249412
AT11,FLOW,12723759.8206793
AT11,OCRO,18996.2008727103
AT11,MAIF,128.051349358062
AT11,ROOF,93622.179299799
AT11,OFAR,53.7168464320407
AT11,GRAE,16.6834468748103
AT11,GRAI,24.7117502909739
AT11,PULS,20.9402170389686
AT11,POTA,2600.16238364162
AT11,SUGB,439.0128905329
AT11,TEXT,26581.9206821501
AT11,TOBA,50576621.2047968
AT11,TOMA,44166043.6322076
AT11,OVEG,25612.8725138747
AT11,APPL,160570.285515879
AT11,OFRU,3494967.11103691
AT11,TWIN,5799.79517593394
AT11,FALL,43.7462917524197
AT11,VSET,880.120165200734
AT11,DCOL,3340.9955263043
AT11,DCOH,5012.53149087188
AT11,BULL,413.686660468944
AT11,BULH,626.215877034158
AT11,HEIL,2079.11779253168
AT11,HEIH,3184.16810449929
AT11,SCOW,243.355685401592
AT11,HEIR,860.484643183811
AT11,CAMF,581.932554103391
AT11,CAFF,861.598916336757
AT11,CAMR,36.7044512809283
AT11,CAFR,31.7774718060281
AT11,PIGF,2.6441917068386
AT11,SOWS,148.124294249717
AT11,SHGM,74.5170177469017
AT11,SHGF,31.2538549347436
AT11,HENS,261171.574584491
AT11,POUF,1690.3618844008
AT11,OANI,4376448.72782148
AT12,SWHE,5.42883360014988
AT12,DWHE,35.4527973912143
AT12,RYEM,8.08329460845366
AT12,BARL,7.42075088837699
AT12,OATS,11.9653889345589
AT12,CORN,37.3046756881262
AT12,OCER,68.5266157087717
AT12,RAPE,43.8977566089557
AT12,SUNF,46.9204736311226
AT12,SOYA,48.8810799798874
AT12,OOIL,56.1809859903349
AT12,OIND,6529898.02798105
