region_full,APPL,ARAC,BARL,CER2,CERE,CITR,DWHE,FALL,FLOW,FRUI,FRUN,GRAS,GREF,INDU,KITC,MAIF,MAIZ,NECR,NURS,OATS,OCER,OCRO,OFAR,OFRU,OILS,OIND,OLIV,OLIVGR,OOIL,OVEG,PARI,POTA,PULS,RAPE,ROOF,RYEM,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,UAAR,VEGE,VINY
AL000000,6.48,599.6,3.77,131.26,132.2,1.3,,178.0,5.1,20.7,88.0,478.1,225.0,7.8,20.0,19.2,56.73,,,16.5,,,205.8,14.7,0.6,5.6,41.1,48.1,,24.7,3.0,9.7,13.35,,,1.3,0.17,0.84,0.54,53.9,7.0,1.5,12.0,0.8,6.9,8.9,1165.7,42.8,10.4
AT000000,7.220000000000001,1321.71,123.62,747.46,747.46,,19.46,50.28,0.34,9.29,68.02,1256.2,236.08,185.81,1.02,85.13,218.2,1.05,1.79,26.21,64.39,0.32,150.95,6.86,177.75,5.109999999999999,,,48.06,16.77,,22.56,19.96,28.27,0.09,35.17,76.74,37.68,24.68,260.4,,,1.89,0.1,0.2,46.16,2646.96,19.41,46.16
AT100000,,834.74,80.01,489.26,517.79,,16.06,38.64,0.17,3.8,47.36,190.4,112.96,121.96,0.37,32.63,98.59,0.51,0.66,,36.1,0.26,64.71,,94.4,3.17,,,0.78,,,21.04,15.22,24.38,0.03,34.82,44.24,19.76,22.42,202.2,,,,0.1,,,1072.87,13.48,41.2
AT110000,,157.2,8.41,85.45,94.66,,3.28,8.19,0.03,0.9,13.37,13.1,17.74,37.39,0.07,2.71,21.87,0.04,0.08,,3.06,,10.19,,26.5,0.23,,,0.22,,,1.45,3.22,6.09,0.01,5.06,23.44,1.9,4.31,40.08,,,,,,,183.74,1.32,12.2
AT120000,,673.47,71.22,401.69,420.89,,12.57,30.22,0.1,2.8,33.2,176.5,95.0,84.2,0.3,29.91,76.56,0.47,0.48,,33.01,0.26,54.35,,67.5,2.92,,,0.55,,,19.53,11.94,18.26,0.03,29.53,20.53,17.78,18.09,161.12,,,,0.1,,,883.47,11.33,28.4
AT130000,,4.07,0.38,2.11,2.24,,0.2,0.23,0.04,0.1,0.8,0.8,0.22,0.38,0.01,0.04,0.16,,0.1,,0.03,,0.18,,0.4,0.02,,,0.01,,,0.07,0.06,0.03,,0.23,0.27,0.09,0.02,0.99,,,,,,,5.67,0.82,0.6
AT200000,,184.57,12.87,101.28,109.15,,0.23,4.03,0.08,10.0,17.36,377.0,50.13,24.43,0.27,18.12,62.83,0.14,0.44,,8.52,,29.92,,19.4,0.05,,,0.06,,,1.26,0.99,0.27,0.01,2.52,9.21,0.31,0.59,10.67,,,,0.1,,,579.21,1.84,5.4
AT210000,,58.93,4.99,29.77,30.09,,0.16,0.94,0.01,0.4,0.65,155.2,22.32,4.53,0.09,8.22,15.53,0.04,0.04,,3.41,,13.39,,3.8,0.02,,,0.04,,,0.49,0.48,0.05,,0.9,3.68,0.02,0.17,3.4,,,,,,,214.87,0.3,0.1
AT220000,,125.65,7.88,71.5,79.06,,0.07,3.09,0.07,9.6,16.71,221.8,27.81,19.91,0.18,9.9,47.31,0.11,0.4,,5.12,,16.53,,15.6,0.04,,,0.02,,,0.77,0.51,0.22,0.01,1.63,5.53,0.29,0.42,7.26,,,,0.1,,,364.34,1.54,5.3
AT300000,,302.4,41.92,174.34,182.16,,0.22,7.61,0.09,2.1,3.3,688.8,79.08,27.33,0.38,36.12,51.18,0.46,0.69,,16.23,0.07,36.91,,16.1,0.86,,,0.34,,,1.96,2.45,7.15,0.05,7.9,15.06,6.25,0.47,49.65,,,,,,,994.87,2.74,0.1
AT310000,,288.29,41.21,172.1,180.12,,0.19,7.58,0.04,1.7,2.77,214.0,68.64,27.24,0.32,31.44,50.98,0.44,0.57,,15.86,0.07,31.33,,16.1,0.85,,,0.34,,,1.41,2.43,7.14,0.04,7.78,15.02,6.25,0.47,49.08,,,,,,,505.38,2.08,0.1
AT320000,,4.81,0.46,1.34,1.26,,0.01,0.02,0.02,0.1,0.16,163.8,3.19,0.05,0.03,0.82,0.15,0.01,0.06,,0.21,,2.33,,0.1,,,,,,,0.11,0.01,0.01,,0.04,0.03,,,0.27,,,,,,,168.8,0.07,0.01
AT330000,,6.76,0.22,0.68,0.64,,0.02,0.01,0.02,0.2,0.25,236.4,5.1,0.03,0.02,2.64,0.04,0.01,0.05,,0.15,,2.41,,,,,,,,,0.38,0.01,,0.01,0.08,0.01,,,0.14,,,,,,,243.43,0.51,0.01
AT340000,,2.53,0.02,0.22,0.14,,0.01,0.04,0.02,0.1,0.12,74.6,2.14,0.01,0.01,1.22,0.02,0.01,0.02,,0.01,,0.85,,,,,,,,,0.06,,,0.01,0.01,,,,0.16,,,,,,,77.26,0.08,0.02
BA000000,,604.95,21.63,321.32,321.32,,,77.1,0.09,95.03,106.16,1095.16,129.18,18.92,,35.03,200.54,,0.34,10.71,12.59,0.08,94.14,,17.08,0.84,,,,29.58,,39.05,8.68,3.82,0.84,3.02,12.68,,0.58,69.91,,0.5,,1.0,4.51,3.93,1806.27,31.02,4.43
BG000000,7.3,3478.01,130.58,1966.04,1953.69,,8.7,161.57,2.01,40.42,151.02,1403.99,138.93,1011.95,14.23,31.0,573.0,1.45,1.7,13.4,21.86,,108.49,65.28,951.62,53.3,,,6.05,42.82,12.0,10.0,25.2,133.36,0.06,8.6,2.0,0.01,838.0,1195.63,,2.16,3.89,3.19,2.6,26.58,5047.25,24.61,28.74
BG010000,,809.69,22.71,495.46,338.4,,0.82,28.98,,3.9,11.58,233.19,21.88,228.08,1.0,4.88,201.88,,0.1,,0.71,,16.68,,,1.51,,,,,,0.29,5.99,8.42,1.5,0.35,1.66,,215.9,264.02,,,,0.2,,,1055.56,1.7,6.42
BG020000,,663.1,23.51,442.36,326.8,,0.13,16.04,0.59,16.01,15.23,119.83,15.68,165.55,4.12,3.92,183.07,,0.3,,0.58,,13.79,,,4.38,,,,,,0.16,3.9,17.53,0.87,0.13,1.31,,138.82,233.62,,,,0.54,,,806.94,4.26,2.71
BG030000,,748.5,26.02,449.52,389.3,,0.41,17.18,,11.86,17.6,112.37,22.57,217.85,0.81,6.7,154.38,,0.39,,1.44,,17.42,,,14.31,,,,,,0.22,4.0,15.44,,0.13,0.23,,186.04,265.74,,,,0.06,,,881.46,4.45,5.74
BG040000,,199.82,8.1,87.46,52.4,,0.05,32.62,0.3,10.89,16.72,375.6,14.79,38.36,3.26,3.57,16.97,,0.4,,2.47,,7.25,,7.8,0.8,,,0.07,,,5.15,1.26,1.05,0.1,1.22,0.03,0.1,36.03,52.83,,,,0.14,,,597.21,1.39,5.17
BG050000,,414.65,15.19,178.61,131.6,,2.21,33.2,0.72,22.09,39.92,325.13,37.76,117.96,3.42,7.07,11.65,,0.31,,6.48,,25.32,,,5.77,,,,,10.47,2.65,3.5,14.24,,1.98,0.29,,92.61,126.86,,,,1.95,,,785.27,9.62,17.29
BG060000,,642.25,35.23,312.64,288.1,,5.04,33.55,,21.3,39.42,237.87,26.26,244.16,2.76,4.31,13.58,,1.21,,3.53,,18.39,,,26.38,,,0.08,,1.35,0.82,6.55,62.45,0.88,1.66,0.72,,152.53,249.3,,,,0.3,,,920.81,4.78,14.98
BL000000,15.8,869.34,38.2,309.8,309.8,,,16.47,3.06,17.84,21.62,476.12,289.7,25.5,0.1,183.2,48.2,,3.19,3.6,10.1,4.82,106.6,1.399999999999999,8.6,1.5,,,0.3,53.68,,89.7,6.8,8.2,6.2,0.8,,55.1,,208.9,,,15.4,0.03,0.62,,1367.08,70.28,0.49
BL100000,,2.27,0.1,0.95,0.96,,,0.11,,0.01,0.02,0.71,0.39,0.17,,0.2,0.07,,,,0.01,0.01,0.16,,,0.01,,,,,,0.24,0.04,0.06,0.01,0.01,,0.15,,0.7,,,,,,,2.99,0.21,0.01
BL200000,,441.38,15.93,123.65,139.51,,,8.92,2.87,16.1,19.06,164.29,183.4,6.62,0.1,125.23,44.66,,2.71,,1.83,4.43,58.13,,0.2,0.55,,,0.01,,,53.37,0.79,0.49,3.63,0.31,,18.55,,60.24,,,,0.03,,,624.73,35.16,0.24
BL210000,,66.73,0.62,8.21,9.43,,,0.83,1.07,0.46,1.15,29.78,47.15,0.34,0.1,28.17,5.53,,0.69,,0.4,0.06,18.98,,0.1,0.2,,,,,,4.38,0.11,0.02,0.81,0.08,,0.49,,1.47,,,,,,,97.66,3.28,0.01
