,SCOW,SOWS,HENS,DCOW,COWS,CALV,PIGS,SHEP,GOAT,BROIL,BULF1,HEIF1,BULF2,HEIF2,PIGF50,OPOUF
AL000,2.53,13.54,,313.89,316.43,33.73,183.85,1729.7,794.67,,6.18,5.02,1.47,23.95,84.41,
AT000,195.48,230.22,5980.0,524.07,719.55,605.32,2773.23,240.91,60.13,7080.0,164.93,78.1,20.05,18.73,1165.89,2680.0
BA000,16.0,93.0,,193.0,209.0,92.0,543.0,573.0,44.0,,32.0,9.0,17.0,5.0,160.0,
BE000,401.08,396.49,11110.0,537.96,939.04,721.96,6085.1,66.22,48.55,23280.0,99.48,18.74,26.57,15.72,2861.03,710.0
BG000,116.2,50.86,6300.0,226.69,342.89,99.7,491.81,1130.54,204.09,6140.0,13.29,7.89,6.4,2.68,214.64,1840.0
CS000,12.0,417.0,,423.0,434.0,264.0,2903.0,1197.0,140.0,,58.0,8.0,12.0,1.0,886.0,
CY000,0.1,32.73,460.0,35.02,35.11,24.53,351.92,232.29,162.98,1240.0,0.9,0.04,0.25,0.05,124.84,150.0
CZ000,208.63,130.68,7260.0,361.43,570.06,411.03,1508.91,56.81,15.68,13990.0,93.17,10.55,17.35,1.65,561.84,4090.0
DE000,639.69,1787.9,47990.0,4011.67,4651.37,3485.38,26053.4,1079.4,,97150.0,890.91,194.54,88.72,38.25,11721.3,32200.0
DK000,83.0,1244.0,5670.0,563.0,645.0,522.0,12728.0,73.0,,13220.0,26.0,40.0,10.0,20.0,3003.0,540.0
EE000,31.4,25.8,850.0,85.0,116.4,70.9,301.6,44.9,1.4,1270.0,6.9,1.4,3.6,1.0,105.0,50.0
EL000,156.0,94.0,8060.0,86.0,242.0,157.0,733.0,6505.0,2588.0,19380.0,38.0,8.0,14.0,4.0,265.0,440.0
ES000,2068.21,2576.99,58130.0,812.87,2881.09,2528.83,31246.04,11046.79,1896.89,124630.0,259.25,134.9,139.35,17.48,13280.89,23060.0
FI000,59.42,92.2,3430.0,258.94,318.36,287.31,1062.2,57.61,4.64,6860.0,89.23,17.81,8.99,2.11,438.6,1690.0
FR000,4006.72,984.0,75140.0,3485.59,7492.31,5085.86,13510.0,5329.0,1058.0,153790.0,774.63,304.08,399.23,444.1,5461.0,68140.0
HR000,12.0,125.0,3100.0,130.0,142.0,151.0,1022.0,487.0,63.0,9710.0,48.0,9.0,5.0,1.0,451.0,820.0
HU000,169.0,231.0,9240.0,243.0,412.0,258.0,2634.0,782.0,33.0,11370.0,44.0,17.0,10.0,4.0,1182.0,20490.0
IR000,956.87,143.97,2530.0,1425.76,2382.63,1962.38,1613.27,2570.87,,7130.0,779.41,465.78,212.38,126.32,598.91,470.0
IS000,2.6,3.4,200.0,26.4,29.0,22.9,36.0,344.0,1.2,320.0,9.4,1.8,2.5,2.0,15.0,20.0
IT000,361.56,556.01,40420.0,1875.72,2237.28,1759.33,8510.27,6086.54,827.42,100710.0,555.94,256.91,108.2,100.68,4897.57,23770.0
KO000,2.09,11.42,,131.94,134.03,83.13,40.53,145.25,20.6,,14.85,2.7,6.3,1.73,11.23,
LT000,58.1,42.5,3030.0,240.9,299.0,166.7,550.8,89.5,9.2,6030.0,43.6,2.2,6.0,1.9,251.4,270.0
LU000,24.87,4.72,100.0,54.15,79.02,49.73,84.04,4.37,,20.0,10.2,2.56,2.96,3.14,38.49,
LV000,56.36,34.45,3190.0,138.41,194.77,108.24,314.2,61.92,8.21,1800.0,10.05,7.19,4.1,4.08,132.98,40.0
MK000,13.0,17.0,,111.0,124.0,63.0,136.0,647.0,81.0,,4.0,2.0,6.0,1.0,61.0,
MO000,0.4,1.6,490.0,57.2,57.6,15.3,23.0,174.2,20.9,130.0,1.3,0.1,2.2,0.1,11.5,10.0
MT000,0.15,3.56,300.0,6.12,6.28,4.0,35.48,11.71,4.67,620.0,1.01,0.12,0.13,0.12,13.58,10.0
NL000,43.0,1047.0,53480.0,1590.0,1633.0,1528.0,11921.0,638.0,509.0,44240.0,46.0,22.0,13.0,21.0,4163.0,1710.0
NO000,,,5640.0,,,,,,,15970.0,,,,,,430.0
PL000,239.4,756.8,50490.0,2166.9,2406.3,1747.6,11215.5,134.71,62.62,80060.0,880.5,46.7,101.5,8.8,4817.5,18650.0
PT000,497.0,234.25,9760.0,234.23,731.23,531.15,2216.48,1572.78,258.49,17050.0,69.35,16.31,60.65,11.25,707.71,1810.0
RO000,26.9,309.0,38600.0,1138.8,1165.7,400.3,3834.1,8870.0,1293.5,33480.0,47.4,15.1,22.7,8.8,2055.5,4220.0
SE000,198.32,120.8,8580.0,301.38,499.7,453.13,1481.2,261.15,3.4,7960.0,123.37,17.09,29.73,23.05,615.8,80.0
SI000,65.1,16.55,1180.0,100.84,165.94,151.02,240.14,95.07,21.84,2860.0,66.34,23.44,7.69,4.87,122.09,830.0
SK000,66.0,53.86,5560.0,125.85,191.85,122.26,589.23,259.88,32.73,5550.0,23.07,4.49,4.64,2.56,201.77,250.0
TR000,158.03,,,6311.5,6469.53,4489.69,,23434.02,6324.53,,2169.29,70.33,767.4,60.2,,
UK000,1470.0,490.0,49060.0,1867.0,3337.0,2860.0,4741.0,13841.0,47.78,94760.0,929.0,615.0,289.0,73.0,1775.0,11690.0
