commodity,item,year,eu_value
BARL,IMPT,2021,12129118.20066173
MAIZ,IMPT,2040,4.967198496360111
OCER,IMPT,2021,2948905.1714867707
RAPE,IMPT,2021,14805244.638938911
SUNF,IMPT,2021,3465235.871671791
SOYA,IMPT,2040,5.649322502505133
PULS,IMPT,2021,3283446.091904771
POTA,IMPT,2021,17456491.39976428
WHEA,IMPT,2040,25.45060502800257
BEEF,IMPT,2040,7.584646842548638
PORK,IMPT,2040,18.628554990612912
EGGS,IMPT,2040,9.009705436633954
POUM,IMPT,2040,36.582985808369074
WMIO,IMPT,2040,17.804755776253916
BUTT,IMPT,2040,41.039709345043924
SMIP,IMPT,2040,29.649429855656305
CHES,IMPT,2040,34.03286235258482
SUGA,IMPT,2040,7.519306651314564
RAPO,IMPT,2040,24.737239037099695
SUNO,IMPT,2040,24.737239037099695
SOYO,IMPT,2040,24.737239037099695
RAPC,IMPT,2040,30.009964011386145
SUNC,IMPT,2040,30.009964011386145
SOYC,IMPT,2040,30.009964011386145
MILK,IMPT,2021,7562213.642253062
BARL,EXPT,2021,24685421.0533627
MAIZ,EXPT,2040,14.430329624827703
OCER,EXPT,2021,2833137.135262017
RAPE,EXPT,2021,7892421.36012128
SUNF,EXPT,2021,3768043.853043104
SOYA,EXPT,2040,10.21474975837558
PULS,EXPT,2021,1700315.422270287
POTA,EXPT,2021,24201772.969814926
WHEA,EXPT,2040,54.0438081942739
BEEF,EXPT,2040,8.090954119662952
PORK,EXPT,2040,5.8455823977846695
EGGS,EXPT,2040,10.868599951542757
POUM,EXPT,2040,39.06613245410088
WMIO,EXPT,2040,18.10009593769453
BUTT,EXPT,2040,35.72185083839509
SMIP,EXPT,2040,44.462953807810685
CHES,EXPT,2040,48.53453563534899
SUGA,EXPT,2040,9.974017684028393
RAPO,EXPT,2040,40.18519834686561
SUNO,EXPT,2040,40.18519834686561
SOYO,EXPT,2040,40.18519834686561
RAPC,EXPT,2040,46.19182391508869
SUNC,EXPT,2040,46.19182391508869
SOYC,EXPT,2040,46.19182391508869
MILK,EXPT,2021,8099489.205992165
BARL,HCOM,2040,34.04357523253121
MAIZ,HCOM,2040,36.26940539767531
OCER,HCOM,2040,24.431005797823744
RAPE,HCOM,2040,22.64057347344592
SUNF,HCOM,2040,28.647361390638668
SOYA,HCOM,2040,35.58265424654922
PULS,HCOM,2021,2130304.932304733
POTA,HCOM,2021,32822697.90857908
WHEA,HCOM,2040,34.27060401839031
BEEF,HCOM,2040,30.176175088511282
PORK,HCOM,2040,31.55917759767039
EGGS,HCOM,2040,37.78589227494442
POUM,HCOM,2040,38.312266789638734
WMIO,HCOM,2040,35.83366167314634
BUTT,HCOM,2040,40.57525132572226
SMIP,HCOM,2040,56.691762920823315
CHES,HCOM,2040,40.68776694686884
SUGA,HCOM,2040,31.414147028040343
RAPO,HCOM,2040,40.508180004727606
SUNO,HCOM,2040,44.62781425266171
SOYO,HCOM,2040,36.90410893846601
BARL,MAPR,2040,27.18147874964959
MAIZ,MAPR,2040,35.79035244762623
OCER,MAPR,2040,29.52916932928725
RAPE,MAPR,2040,26.592734525496283
PULS,MAPR,2021,5953781.489384344
POTA,MAPR,2021,58372555.588145085
WHEA,MAPR,2040,38.62203840320894
BEEF,MAPR,2040,31.733269425410647
PORK,MAPR,2040,31.974574633380335
EGGS,MAPR,2040,35.8092904664967
POUM,MAPR,2040,41.419639314290244
WMIO,MAPR,2040,27.803278746903533
BUTT,MAPR,2040,37.28902408907229
SMIP,MAPR,2040,38.05255627245847
CHES,MAPR,2040,46.71678788186939
SUGA,MAPR,2040,31.047165963214713
RAPO,MAPR,2040,34.403174066917686
SUNO,MAPR,2040,39.878113681424054
SOYO,MAPR,2040,35.74261286098339
RAPC,MAPR,2040,44.21070593657201
SUNC,MAPR,2040,39.114066330386436
SOYC,MAPR,2040,36.778144943466444
MILK,MAPR,2040,37.69062707455405
BARL,DOMM,2040,22.276324585374198
MAIZ,DOMM,2040,38.67319531253792
OCER,DOMM,2040,21.617924232897987
RAPE,DOMM,2040,22.64057347344592
SUNF,DOMM,2040,28.647361390638668
SOYA,DOMM,2040,36.20231821267936
PULS,DOMM,2021,7536912.15901883
POTA,DOMM,2021,51627274.01809446
WHEA,DOMM,2040,32.536980665206585
BEEF,DOMM,2040,31.909760284494897
PORK,DOMM,2040,32.30597573605256
EGGS,DOMM,2040,36.955780250168516
POUM,DOMM,2040,38.76853051909498
WMIO,DOMM,2040,35.83058469395642
BUTT,DOMM,2040,40.55063644256573
SMIP,DOMM,2040,56.17567443234272
CHES,DOMM,2040,40.68459887512713
SUGA,DOMM,2040,8.555140860906453
RAPO,DOMM,2040,32.562318831982275
SUNO,DOMM,2040,44.88259742509978
SOYO,DOMM,2040,38.781848316829496
RAPC,DOMM,2040,34.18122604268385
SUNC,DOMM,2040,31.221274358130703
SOYC,DOMM,2040,32.755301051870845
MILK,DOMM,2021,179493441.7552669
SUNF,MAPR,2040,29.474979446384136
SOYA,MAPR,2040,49.28882188690163
SWHE,HCOM,2040,34.23395656853057
RAPC,HCOM,2040,34.18122604268385
SUNC,HCOM,2040,31.221274358130703
SOYC,HCOM,2040,32.755301051870845
SWHE,MAPR,2040,38.82402265338376
SUGB,MAPR,2040,29.62364503089443
SWHE,DOMM,2040,32.34808642823336
SWHE,PPRI,2040,49.49275243157271
BARL,PPRI,2040,37.07692189886494
MAIZ,PPRI,2040,46.9431182761542
OCER,PPRI,2040,31.117734651281534
RAPE,PPRI,2040,49.66144787631819
SUNF,PPRI,2040,49.35413188544427
SOYA,PPRI,2040,59.81092827071607
SUGB,PPRI,2040,40.7350080905126
WHEA,PPRI,2040,50.17447714444606
BEEF,PPRI,2040,51.71001289375744
PORK,PPRI,2040,50.399802559657985
EGGS,PPRI,2040,59.81599080425058
POUM,PPRI,2040,44.995103504960106
WMIO,PPRI,2040,54.46640744095244
BUTT,PPRI,2040,45.08694044501234
SMIP,PPRI,2040,72.05920313025757
CHES,PPRI,2040,60.19668932219937
SUGA,PPRI,2040,41.029715812764046
RAPO,PPRI,2040,50.065576097651096
SUNO,PPRI,2040,53.1834475435082
SOYO,PPRI,2040,34.049655738268854
RAPC,PPRI,2040,45.93095127649341
SUNC,PPRI,2040,33.10735821603347
SOYC,PPRI,2040,41.69472793065316
MILK,PPRI,2040,88.00713680917816
SWHE,PMRK,2040,51.58726302915667
BARL,PMRK,2040,44.693790835109546
MAIZ,PMRK,2040,48.27607321421814
OCER,PMRK,2040,39.631917801947466
RAPE,PMRK,2040,59.92153496201948
SUNF,PMRK,2040,63.771102724711945
SOYA,PMRK,2040,50.60253788305668
SUGB,PMRK,2040,41.1211966324746
WHEA,PMRK,2040,46.444157864555265
BEEF,PMRK,2040,52.133872755296395
PORK,PMRK,2040,51.217021773035135
EGGS,PMRK,2040,78.6801420060405
POUM,PMRK,2040,45.31445728452928
WMIO,PMRK,2040,54.46837000565586
BUTT,PMRK,2040,60.11250596098951
SMIP,PMRK,2040,66.45644259602261
CHES,PMRK,2040,60.81351353030206
SUGA,PMRK,2040,39.687840907395184
RAPO,PMRK,2040,65.4393910230866
SUNO,PMRK,2040,69.11426759632694
SOYO,PMRK,2040,44.53726365178918
RAPC,PMRK,2040,60.02880111291459
SUNC,PMRK,2040,43.28498433416553
SOYC,PMRK,2040,54.39312978046192
MILK,PMRK,2040,74.348911083734
SWHE,IMPT,2040,4.266193126081265
SWHE,EXPT,2040,15.266469871279801
