region,zone,pct
DK000000,10,100
DK000000,Cool,100
BL000000,Cool,100
DE000000,Cool,100
EL000000,Cool,51
EL000000,Temperate,49
ES000000,Cool,65
ES000000,Temperate,35
FR000000,Cool,99
FR000000,Temperate,1
IR000000,Cool,100
IT000000,Cool,60
IT000000,Temperate,40
NL000000,Cool,100
AT000000,Cool,100
PT000000,Cool,18
PT000000,Temperate,82
SE000000,Cool,100
FI000000,Cool,100
UK000000,Cool,100
CY000000,Temperate,100
CZ000000,Cool,100
EE000000,Cool,100
HU000000,Cool,100
LT000000,Cool,100
LV000000,Cool,100
MT000000,Temperate,100
PL000000,Cool,100
SI000000,10,84
SI000000,11,14
SI000000,12,1
SI000000,13,1
SI000000,Cool,100
SK000000,Cool,100
BG000000,Cool,100
RO000000,Cool,100
NO000000,Cool,100
BL210000,10,74
BL210000,11,26
BL220000,10,81
BL220000,11,19
BL230000,10,70
BL230000,11,30
BL250000,10,77
BL250000,11,23
BL310000,10,88
BL310000,11,12
BL320000,10,82
BL320000,11,18
BL350000,10,99
BL350000,11,1
DE120000,10,86
DE120000,11,14
DE130000,10,94
DE130000,11,6
DE710000,10,99
DE710000,11,1
DEA10000,10,88
DEA10000,11,12
DEA20000,10,96
DEA20000,11,4
DEB30000,10,90
DEB30000,11,10
EL300000,15,19
EL300000,16,45
EL300000,17,33
EL300000,18,3
EL110000,10,2
EL110000,11,3
EL110000,12,2
EL110000,13,21
EL110000,14,63
EL110000,15,9
EL120000,10,10
EL120000,11,4
EL120000,12,11
EL120000,13,22
EL120000,14,32
EL120000,15,20
EL120000,16,1
EL130000,10,48
EL130000,11,33
EL130000,12,18
EL130000,13,1
EL140000,10,8
EL140000,11,9
EL140000,12,12
EL140000,13,14
EL140000,14,29
EL140000,15,27
EL140000,16,1
EL210000,10,12
EL210000,11,14
EL210000,12,8
EL210000,13,21
EL210000,14,29
EL210000,15,13
EL210000,16,2
EL210000,17,1
EL220000,14,1
EL220000,15,44
EL220000,16,49
EL220000,17,5
EL220000,18,1
EL230000,11,1
EL230000,12,13
EL230000,13,13
EL230000,14,7
EL230000,15,27
EL230000,16,29
EL230000,17,10
EL240000,10,4
EL240000,11,4
EL240000,12,4
EL240000,13,7
EL240000,14,27
EL240000,15,37
EL240000,16,14
EL240000,17,3
EL250000,10,2
EL250000,11,2
EL250000,12,3
EL250000,13,26
EL250000,14,24
EL250000,15,20
EL250000,16,19
EL250000,17,4
EL410000,15,55
EL410000,16,44
EL410000,17,1
EL420000,16,17
EL420000,17,42
EL420000,18,36
EL420000,19,5
EL430000,13,1
EL430000,14,10
EL430000,15,14
EL430000,16,38
EL430000,17,33
EL430000,18,4
ES300000,10,17
ES300000,11,14
ES300000,12,30
ES300000,13,21
ES300000,14,13
ES300000,15,5
ES110000,10,1
ES110000,11,40
ES110000,12,32
ES110000,13,26
ES110000,14,1
ES120000,10,28
ES120000,11,30
ES120000,12,16
ES120000,13,23
ES120000,14,3
ES130000,10,24
ES130000,11,22
ES130000,12,32
ES130000,13,14
ES130000,14,8
ES210000,11,21
ES210000,12,23
ES210000,13,50
ES210000,14,6
ES220000,10,15
ES220000,11,36
ES220000,12,25
ES220000,13,14
ES220000,14,10
ES230000,10,56
ES230000,11,12
ES230000,12,23
ES230000,13,7
ES230000,14,2
ES240000,10,21
ES240000,11,14
ES240000,12,6
ES240000,13,10
ES240000,14,31
ES240000,15,18
ES410000,10,16
ES410000,11,30
ES410000,12,42
ES410000,13,12
ES420000,10,8
ES420000,11,4
ES420000,12,4
ES420000,13,17
ES420000,14,45
ES420000,15,21
ES420000,16,1
ES430000,12,2
ES430000,13,4
ES430000,14,5
ES430000,15,19
ES430000,16,41
ES430000,17,25
ES430000,18,4
ES510000,10,10
ES510000,11,8
ES510000,12,16
ES510000,13,13
ES510000,14,30
ES510000,15,20
ES510000,16,3
ES520000,11,1
ES520000,12,2
ES520000,13,4
ES520000,14,12
ES520000,15,30
ES520000,16,27
ES520000,17,21
ES520000,18,3
ES530000,15,2
ES530000,16,82
ES530000,17,16
ES610000,11,1
ES610000,12,3
ES610000,13,5
ES610000,14,9
ES610000,15,17
ES610000,16,18
ES610000,17,23
ES610000,18,21
ES610000,19,3
ES620000,12,5
ES620000,13,11
ES620000,14,15
ES620000,15,15
ES620000,16,21
ES620000,17,31
ES620000,18,2
FR100000,10,41
FR100000,11,48
FR100000,12,11
FR300000,10,83
FR300000,11,17
FR210000,10,84
FR210000,11,16
FR220000,10,74
FR220000,11,26
FR230000,10,71
FR230000,11,29
FR240000,10,23
FR240000,11,58
FR240000,12,19
FR250000,10,45
FR250000,11,52
FR250000,12,3
FR260000,10,57
FR260000,11,39
FR260000,12,4
FR420000,10,83
FR420000,11,17
FR430000,10,86
FR430000,11,14
FR510000,10,12
FR510000,11,42
FR510000,12,39
FR510000,13,7
FR520000,10,4
FR520000,11,73
FR520000,12,23
FR530000,11,47
FR530000,12,43
FR530000,13,10
FR610000,10,3
FR610000,11,11
FR610000,12,25
FR610000,13,45
FR610000,14,16
FR620000,10,33
FR620000,11,18
FR620000,12,23
FR620000,13,22
