crop,N_kg_t,P_kg_t,K_kg_t
SWHE,20.0,8.0,6.0
DWHE,23.0,8.0,7.0
RYEM,16.67,8.0,6.0
BARL,16.67,8.0,6.0
OATS,18.33,8.0,6.0
MAIZ,16.67,8.0,5.0
OCER,28.33,8.0,6.0
RAPE,33.0,18.0,10.0
SUNF,28.0,16.0,24.0
SOYA,58.0,16.0,24.0
OOIL,30.0,16.0,16.0
OIND,15.5,5.5,5.0
NURS,15.5,5.5,5.0
FLOW,65.0,22.0,20.0
OCRO,15.5,5.5,5.0
MAIF,3.33,2.0,4.4
ROOF,1.8,0.9,5.0
OFAR,6.6,1.75,3.75
PARI,22.0,7.0,24.0
OLIV,4.5,1.0,0.5
PULS,41.0,12.0,14.0
POTA,3.5,1.4,6.0
SUGB,1.8,1.0,2.5
TEXT,3.0,8.0,15.0
TOBA,30.0,4.0,45.0
TOMA,2.0,0.7,0.6
OVEG,2.0,0.7,0.6
APPL,1.1,0.3,1.6
OFRU,2.0,0.4,1.7
CITR,2.0,0.4,1.6
TAGR,1.9,1.0,3.1
TABO,22.5,5.0,2.5
TWIN,2.923076923076922,1.538461538461538,4.769230769230769
GRAS,4.17,1.5,3.5
STRA,5.0,3.0,18.0
