,OCER,SWHE,BARL,CORN,OFOD,GRAS,MILK,SOYM,RAPM,MAIF,SUFM
AT,3380.9,457.73199999999997,702.4,1444.4,222.339,16.313,123.701,997.0,0.0,0.0,0.0
BE,3185.783,1830.978,235.883,735.468,852.723,0.0,0.0,0.0,0.0,0.0,0.0
BG,2913.0,1300.0,357.0,935.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,3034.7560000000003,1285.0,850.0,380.0,255.162,0.0,0.0,0.0,0.0,0.0,0.0
DE,31789.0,8952.0,7542.0,53927.0,2689.98,30268.0,5894.0,8324.0,63.0,0.0,0.0
DK,7720.0,4598.0,3779.0,8308.0,1612.0,8650.0,1419.0,3841.0,0.0,0.0,0.0
EE,611.0,179.0,224.0,17.0,20.799999999999997,0.0,0.0,0.0,0.0,0.0,0.0
EL,3002.76,2662.0,814.0,2572.0,114.44,1644.0,100.0,930.44,31.0,0.0,2.43
ES,25494.9,2820.0,8573.9,13428.2,622.5999999999999,359.0,0.0,1432.0,241.0,-1.0,0.0
FI,2899.3,423.4,1337.3,57.0,43.5,6946.0,56.0,0.0,0.0,0.0,0.0
FR,24137.0,9975.0,4410.0,22152.0,3771.623,21242.0,3584.0,10181.0,373.0,29.0,6.0
HR,2862.2219999999998,119.34,234.6,2361.23,65.82000000000001,0.0,0.0,0.0,0.0,0.0,0.0
HU,5327.4,1064.6,564.3,2669.0,60.5,0.0,0.0,0.0,0.0,0.0,0.0
IR,3007.0,884.0,1354.0,620.0,477.639,30674.0,1774.0,589.0,35.0,310.0,0.0
IT,15686.0,16151.0,3039.0,25368.0,885.0,31160.0,7853.0,0.0,0.0,0.0,47.0
LT,1558.3,251.9,539.0,51.7,269.90000000000003,0.0,0.0,0.0,0.0,0.0,0.0
LU,144.533,40.836,36.014,9.6,3.0060000000000002,0.0,0.0,0.0,0.0,0.0,0.0
LV,620.1999999999999,141.2,139.4,11.6,142.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,79.4,4.0,25.5,51.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,9213.0,4050.0,1527.0,2767.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,26060.0,3324.0,2650.0,1740.0,2378.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,2655.0,554.0,280.0,1670.0,57.0,562.0,8.0,853.0,187.0,0.0,0.0
RO,7655.7,498.6,227.8,6196.3,629.8,0.0,0.0,0.0,0.0,0.0,0.0
SE,4454.3,2331.0,2080.0,40.0,189.1,5564.0,1317.0,0.0,0.0,0.0,0.0
SI,34.763000000000005,10.18,3.76,18.06,4.21,0.0,0.0,0.0,0.0,0.0,0.0
SK,785.174,326.419,167.755,201.055,18.45,0.0,0.0,0.0,0.0,0.0,0.0
TR,9557.377,351.323,5891.66,2947.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK,11431.0,7068.0,3505.0,1433.0,1606.0,0.0,519.0,5497.0,383.0,0.0,0.0
