,price
SWHE,170.6427
DWHE,205.1052
RYEM,152.7075
BARL,149.4013
OATS,127.4944
CORN,132.3030
OCER,117.8264
RAPE,321.0000
SUNF,302.0000
SOYA,293.0000
SUGB,28.3000
POTA,200.8000
PULS,73.3431
TOMA,33.4650
OVEG,30.8288
APPL,52.1583
CITR,177.9850
OFRU,24.4443
TAGR,217.9812
WINE,95.4644
OLIV,49.4722
DCOW,869.4226
PIGS,905.0000
PIGF,844.7200
LAYS,688.2000
BROI,748.0000
BCOW,844.0500
SHGP,782.5250
TOBA,43.7750
COTT,43.6283
OFIB,200.0000
GRAS,40.0000
MAIF,35.0000
OFOD,55.0000
SETA,0.0000
BULL,1400.0000
HFRS,900.0000
CALV,300.0000
OANI,8.0000
OOIL,280.0000
