region,group1,group2,coef
BL210000,CERE,CERE,237.783410777916
BL210000,CERE,CER2,-129.6583005578564
BL210000,CERE,OILS,0.0
BL210000,CERE,OARA,143.9472517461545
BL210000,CERE,FARA,-16.09695603002415
BL210000,CERE,NOCR,0.0
BL210000,CER2,CERE,0.0
BL210000,CER2,CER2,296.5238524104702
BL210000,CER2,OILS,0.0
BL210000,CER2,OARA,-1000.0
BL210000,CER2,FARA,39.47778118429596
BL210000,CER2,NOCR,0.0
BL210000,OILS,CERE,0.0
BL210000,OILS,CER2,0.0
BL210000,OILS,OILS,0.0
BL210000,OILS,OARA,0.0
BL210000,OILS,FARA,0.0
BL210000,OILS,NOCR,0.0
BL210000,OARA,CERE,0.0
BL210000,OARA,CER2,0.0
BL210000,OARA,OILS,0.0
BL210000,OARA,OARA,4465.681445726391
BL210000,OARA,FARA,-153.6179796556088
BL210000,OARA,NOCR,0.0
BL210000,FARA,CERE,0.0
BL210000,FARA,CER2,0.0
BL210000,FARA,OILS,0.0
BL210000,FARA,OARA,0.0
BL210000,FARA,FARA,5.822750267371299
BL210000,FARA,NOCR,0.0
BL210000,NOCR,CERE,0.0
BL210000,NOCR,CER2,0.0
BL210000,NOCR,OILS,0.0
BL210000,NOCR,OARA,0.0
BL210000,NOCR,FARA,0.0
BL210000,NOCR,NOCR,0.0
BL220000,CERE,CERE,17.1014222901652
BL220000,CERE,CER2,2.774138807933928
BL220000,CERE,OILS,0.0
BL220000,CERE,OARA,70.44313867525648
BL220000,CERE,FARA,-8.56775166967561
BL220000,CERE,NOCR,0.0
BL220000,CER2,CERE,0.0
BL220000,CER2,CER2,32.18141879463678
BL220000,CER2,OILS,0.0
BL220000,CER2,OARA,92.30820870736886
BL220000,CER2,FARA,-14.98557911541135
BL220000,CER2,NOCR,0.0
BL220000,OILS,CERE,0.0
BL220000,OILS,CER2,0.0
BL220000,OILS,OILS,0.0
BL220000,OILS,OARA,0.0
BL220000,OILS,FARA,0.0
BL220000,OILS,NOCR,0.0
BL220000,OARA,CERE,0.0
BL220000,OARA,CER2,0.0
BL220000,OARA,OILS,0.0
BL220000,OARA,OARA,597.5917379110726
BL220000,OARA,FARA,-118.4681390214879
BL220000,OARA,NOCR,0.0
BL220000,FARA,CERE,0.0
BL220000,FARA,CER2,0.0
BL220000,FARA,OILS,0.0
BL220000,FARA,OARA,0.0
BL220000,FARA,FARA,33.36692157128318
BL220000,FARA,NOCR,0.0
BL220000,NOCR,CERE,0.0
BL220000,NOCR,CER2,0.0
BL220000,NOCR,OILS,0.0
BL220000,NOCR,OARA,0.0
BL220000,NOCR,FARA,0.0
BL220000,NOCR,NOCR,0.0
BL230000,CERE,CERE,27.12466480616982
BL230000,CERE,CER2,-18.25519535278579
BL230000,CERE,OILS,0.0
BL230000,CERE,OARA,-146.7702051440941
BL230000,CERE,FARA,45.80188247803182
BL230000,CERE,NOCR,74.61110617089392
BL230000,CER2,CERE,0.0
BL230000,CER2,CER2,31.07072934273791
BL230000,CER2,OILS,0.0
BL230000,CER2,OARA,168.3951238693971
BL230000,CER2,FARA,-52.05736932978753
BL230000,CER2,NOCR,-128.2224851214788
BL230000,OILS,CERE,0.0
BL230000,OILS,CER2,0.0
BL230000,OILS,OILS,0.0
BL230000,OILS,OARA,0.0
BL230000,OILS,FARA,0.0
BL230000,OILS,NOCR,0.0
BL230000,OARA,CERE,0.0
BL230000,OARA,CER2,0.0
BL230000,OARA,OILS,0.0
BL230000,OARA,OARA,1064.260025461733
BL230000,OARA,FARA,-337.7992926691168
BL230000,OARA,NOCR,-711.0447648660501
BL230000,FARA,CERE,0.0
BL230000,FARA,CER2,0.0
BL230000,FARA,OILS,0.0
BL230000,FARA,OARA,0.0
BL230000,FARA,FARA,111.8630351882588
BL230000,FARA,NOCR,231.1630892500775
BL230000,NOCR,CERE,0.0
BL230000,NOCR,CER2,0.0
BL230000,NOCR,OILS,0.0
BL230000,NOCR,OARA,0.0
BL230000,NOCR,FARA,0.0
BL230000,NOCR,NOCR,556.6550852599642
BL240000,CERE,CERE,159.401899209945
BL240000,CERE,CER2,72.09445875199953
BL240000,CERE,OILS,0.0
BL240000,CERE,OARA,-107.2985663870665
BL240000,CERE,FARA,35.14456703481633
BL240000,CERE,NOCR,154.5965057954588
BL240000,CER2,CERE,0.0
BL240000,CER2,CER2,51.03995274413463
BL240000,CER2,OILS,0.0
BL240000,CER2,OARA,-46.77790725138811
BL240000,CER2,FARA,11.21322652321438
BL240000,CER2,NOCR,49.90393953942713
BL240000,OILS,CERE,0.0
BL240000,OILS,CER2,0.0
BL240000,OILS,OILS,0.0
BL240000,OILS,OARA,0.0
BL240000,OILS,FARA,0.0
BL240000,OILS,NOCR,0.0
BL240000,OARA,CERE,0.0
BL240000,OARA,CER2,0.0
BL240000,OARA,OILS,0.0
BL240000,OARA,OARA,178.1030175316302
BL240000,OARA,FARA,-43.3102631733181
BL240000,OARA,NOCR,-240.1458400576039
BL240000,FARA,CERE,0.0
BL240000,FARA,CER2,0.0
BL240000,FARA,OILS,0.0
BL240000,FARA,OARA,0.0
BL240000,FARA,FARA,12.42817718552612
BL240000,FARA,NOCR,63.55115979021865
BL240000,NOCR,CERE,0.0
BL240000,NOCR,CER2,0.0
BL240000,NOCR,OILS,0.0
BL240000,NOCR,OARA,0.0
BL240000,NOCR,FARA,0.0
BL240000,NOCR,NOCR,341.9907497212699
BL250000,CERE,CERE,22.06853073807005
BL250000,CERE,CER2,-35.97316819884907
BL250000,CERE,OILS,0.0
BL250000,CERE,OARA,-68.60500972726317
BL250000,CERE,FARA,49.18308665467355
BL250000,CERE,NOCR,91.79958568789876
BL250000,CER2,CERE,0.0
BL250000,CER2,CER2,95.26303658815885
BL250000,CER2,OILS,0.0
BL250000,CER2,OARA,154.5425820283458
BL250000,CER2,FARA,-112.9255300358279
BL250000,CER2,NOCR,-258.926614699711
BL250000,OILS,CERE,0.0
BL250000,OILS,CER2,0.0
BL250000,OILS,OILS,0.0
BL250000,OILS,OARA,0.0
BL250000,OILS,FARA,0.0
BL250000,OILS,NOCR,0.0
BL250000,OARA,CERE,0.0
BL250000,OARA,CER2,0.0
BL250000,OARA,OILS,0.0
BL250000,OARA,OARA,263.0853318452168
BL250000,OARA,FARA,-191.0947073285214
BL250000,OARA,NOCR,-412.8319861681748
BL250000,FARA,CERE,0.0
BL250000,FARA,CER2,0.0
BL250000,FARA,OILS,0.0
BL250000,FARA,OARA,0.0
BL250000,FARA,FARA,138.9043472315031
BL250000,FARA,NOCR,302.3268591160337
BL250000,NOCR,CERE,0.0
BL250000,NOCR,CER2,0.0
BL250000,NOCR,OILS,0.0
BL250000,NOCR,OARA,0.0
BL250000,NOCR,FARA,0.0
BL250000,NOCR,NOCR,707.9764997443878
BL310000,CERE,CERE,53.71208663321674
BL310000,CERE,CER2,0.0
BL310000,CERE,OILS,0.0
BL310000,CERE,OARA,-182.2897611023402
BL310000,CERE,FARA,-100.4696114816507
BL310000,CERE,NOCR,-231.6781757671515
BL310000,CER2,CERE,0.0
BL310000,CER2,CER2,0.0
BL310000,CER2,OILS,0.0
BL310000,CER2,OARA,0.0
BL310000,CER2,FARA,0.0
BL310000,CER2,NOCR,0.0
BL310000,OILS,CERE,0.0
BL310000,OILS,CER2,0.0
BL310000,OILS,OILS,0.0
BL310000,OILS,OARA,0.0
BL310000,OILS,FARA,0.0
BL310000,OILS,NOCR,0.0
BL310000,OARA,CERE,0.0
BL310000,OARA,CER2,0.0
BL310000,OARA,OILS,0.0
BL310000,OARA,OARA,653.3931575465697
BL310000,OARA,FARA,374.8022379410597
BL310000,OARA,NOCR,781.3648362913865
BL310000,FARA,CERE,0.0
BL310000,FARA,CER2,0.0
BL310000,FARA,OILS,0.0
BL310000,FARA,OARA,0.0
BL310000,FARA,FARA,220.8724489677289
BL310000,FARA,NOCR,428.5754789892714
BL310000,NOCR,CERE,0.0
BL310000,NOCR,CER2,0.0
BL310000,NOCR,OILS,0.0
BL310000,NOCR,OARA,0.0
BL310000,NOCR,FARA,0.0
BL310000,NOCR,NOCR,1000.0
BL320000,CERE,CERE,21.11697027494223
BL320000,CERE,CER2,0.0
BL320000,CERE,OILS,0.0
BL320000,CERE,OARA,-62.03054351782819
BL320000,CERE,FARA,27.26318292759749
BL320000,CERE,NOCR,-125.7863245607264
BL320000,CER2,CERE,0.0
BL320000,CER2,CER2,0.0
BL320000,CER2,OILS,0.0
BL320000,CER2,OARA,0.0
BL320000,CER2,FARA,0.0
BL320000,CER2,NOCR,0.0
BL320000,OILS,CERE,0.0
BL320000,OILS,CER2,0.0
BL320000,OILS,OILS,0.0
BL320000,OILS,OARA,0.0
BL320000,OILS,FARA,0.0
BL320000,OILS,NOCR,0.0
BL320000,OARA,CERE,0.0
BL320000,OARA,CER2,0.0
BL320000,OARA,OILS,0.0
BL320000,OARA,OARA,191.0936506219476
BL320000,OARA,FARA,-73.96009859902736
BL320000,OARA,NOCR,367.6091169997064
BL320000,FARA,CERE,0.0
BL320000,FARA,CER2,0.0
BL320000,FARA,OILS,0.0
BL320000,FARA,OARA,0.0
BL320000,FARA,FARA,39.42244944884954
BL320000,FARA,NOCR,-163.6971221059566
BL320000,NOCR,CERE,0.0
BL320000,NOCR,CER2,0.0
BL320000,NOCR,OILS,0.0
BL320000,NOCR,OARA,0.0
