region,SWHE,DWHE,RYEM,BARL,OATS,CORN,OCER,POTA,SUGB,SUNF,RAPE,SOYA,OOIL,PULS,TOMA,OVEG,APPL,OFRU,CITR,TAGR,WINE,OLIV,TOBA,COTT,OFIB,GRAS,MAIF,OFOD,SETA,DCOW,BCOW,BULL,HFRS,CALV,SHGP,PIGS,PIGF,LAYS,BROI,OANI
DE11,743.26261168147,954.292033109776,560.109055102482,730.20383704994,580.227899340656,1276.02898414919,695.885189087302,4500.82330294336,1461.19376430036,824.996394623694,1022.12642550481,1032.47165738093,433.733613871659,711.7851862938,37049.4611560789,7096.67705260949,7858.1824277941,15456.7662105364,1599.38,890.24,890.24,1599.38,3207.35406677509,1599.38,443.91,683.644789511657,978.173805061917,443.91,443.91,1694.84201346804,292.18,934.920887392398,219.13,146.09,36.52,316.92,116.068526739912,14.79,7.39,5239.44014122127
DE12,738.034209818877,1001.36848706797,512.270069290517,688.966104311624,609.788710541938,1334.20278939986,716.812031561447,4486.91620089161,1463.64298707582,427.0,981.444270305529,1033.85390890326,1230.2238447241,718.101543687267,29852.6189366989,6025.37668256909,7836.57830030151,15441.4876284469,2000.86,2421.85,2421.85,2000.86,3415.46570024021,2000.86,485.86,565.211149359134,876.271221428541,485.86,485.86,1638.31605689239,343.46,956.727766033934,257.59,171.73,42.93,283.84,115.256560195085,13.25,6.62,5199.81988839678
DE13,693.177636504432,470.790308150494,524.921032168515,739.639233098538,651.54308225903,1500.70554064062,717.31241207367,4500.90948425015,1447.67755898152,421.51,1039.23935538596,1031.23318391188,467.036788528956,765.507392406164,37094.3092530785,7165.26108169507,7891.45433696383,15487.9654568784,2000.86,2421.85,2421.85,2000.86,3404.10473833659,2000.86,485.86,758.673147882701,1116.13778776776,485.86,485.86,1541.08715490544,343.46,940.308745281835,257.59,171.73,42.93,283.84,115.417414550103,13.25,6.62,5283.28318329874
DE14,865.86405583274,483.736714752897,564.834617743265,753.395320308257,577.831362689631,1433.95078409127,690.969823018424,1936.73,1475.35142697443,446.55,1008.05581212082,1032.29911817045,436.569524108463,717.606254481953,37165.976861137,7110.29140212194,8142.13063468082,15768.08927976,2000.86,2421.85,2421.85,2000.86,2000.86,2000.86,485.86,785.347726857015,1205.5843688322,485.86,485.86,1728.41685748051,343.46,932.723781675404,257.59,171.73,42.93,283.84,115.975882424265,13.25,6.62,5238.11162426903
DE21,772.287511491536,793.442599248861,448.414294913677,688.745886186543,572.145438836705,1438.55040298235,712.034959634819,5340.62593897671,1615.23409602541,886.060648110074,1001.23123145925,1028.30519142917,425.100739851177,737.338665381004,29705.7189013771,5857.80340547836,8240.79425596538,15874.6303892485,1018.62,2493.55,2493.55,1018.62,1018.62,1018.62,589.59,883.445664914845,1435.71232229821,589.59,589.59,1505.02647683226,407.39,912.70461320416,305.55,203.7,50.92,249.97,118.019469345824,11.67,5.83,5227.61917446028
DE22,712.924567136056,940.637578294664,460.639387329446,547.203171037221,557.837773505178,1344.55069426436,715.385746078724,5768.89667344587,1529.51105099156,383.29,805.021196074629,1025.28940016351,430.501126880103,722.640397506464,29789.3941298277,5800.63591346642,7940.13530349581,15554.586813349,2000.86,2421.85,2421.85,2000.86,2000.86,2000.86,485.86,868.18090843134,1348.76766228505,485.86,485.86,1510.26120275379,343.46,927.222070436874,257.59,171.73,42.93,283.84,118.750040406024,13.25,6.62,5272.12502789863
DE23,755.37254028519,449.330303244085,513.341933937426,655.826132381389,654.152002970763,1267.73525146898,715.348388800261,5324.50039406127,1547.46753812786,904.650289029293,998.281696206797,1029.3366255992,459.860373323079,772.429869158697,34844.3569525108,6795.65312231122,8456.71367127395,16097.2687280538,2000.86,2421.85,2421.85,2000.86,2000.86,2000.86,485.86,894.836480833504,1381.20955800495,485.86,485.86,1660.56229484453,343.46,926.487787098289,257.59,171.73,42.93,283.84,116.9563038806,13.25,6.62,5311.75170773364
DE24,634.705690094776,1022.01685920482,484.985052020495,683.118541067417,662.960076169684,1243.58200340822,717.408547619453,1918.28,1391.23911793414,352.251680534663,748.515277663562,1030.2418582321,471.002582696186,778.160781255345,37129.2391949552,7209.15212104905,8462.60992562565,16099.7751568666,2000.86,2421.85,2421.85,2000.86,2000.86,2000.86,485.86,800.942435870643,1168.71330674176,485.86,485.86,1673.9038288363,343.46,933.15353858398,257.59,171.73,42.93,283.84,116.814769482658,13.25,6.62,5225.20719626064
DE25,657.95197818999,1113.32962481094,416.093640076064,548.158977874659,626.563514804701,1176.44576975393,717.561947922811,1840.7,1454.5692719315,401.640783548906,723.351486046918,1030.26218954918,462.175269340593,741.09931686276,25396.6855701897,5109.58334467383,7918.79965358507,15514.565194819,2000.86,2421.85,2421.85,2000.86,3407.21617124999,2000.86,485.86,633.743978224233,935.013139355169,485.86,485.86,1633.82718674474,343.46,927.540369491935,257.59,171.73,42.93,283.84,118.357284547245,13.25,6.62,5271.25720139667
DE26,737.208239872912,918.111575539393,448.636099991509,626.928134682509,604.379835706373,1222.67709182382,685.438584387251,1830.46,1461.9135205864,783.946896038498,951.828985211488,1028.75429533299,450.513574990129,731.980736879651,25398.7966474778,5077.50373253263,7933.33599218018,15528.0807413502,2000.86,2421.85,2421.85,2000.86,2000.86,2000.86,485.86,676.194317317881,1028.06729999606,485.86,485.86,1556.93181874934,343.46,950.7145763758,257.59,171.73,42.93,283.84,117.44582693453,13.25,6.62,5225.21443541003
