region,prod,wrt,value
BL000000,RYEM,RYEM,0.39309743476314
BL000000,RYEM,BARL,-0.00105290901866118
BL000000,RYEM,OATS,-0.00121823348901306
BL000000,RYEM,MAIZ,-0.00103556086833753
BL000000,RYEM,OCER,-0.0001
BL000000,RYEM,RAPE,-0.00103980893474069
BL000000,RYEM,PULS,-0.0011341486655174
BL000000,RYEM,POTA,-0.00102831608376085
BL000000,RYEM,TEXT,-0.00105105430073081
BL000000,RYEM,TOMA,-0.00103179296683639
BL000000,RYEM,OVEG,-0.00102836146587037
BL000000,RYEM,APPL,-0.00104659464288891
BL000000,RYEM,OFRU,-0.00102871589833455
BL000000,RYEM,TAGR,-0.0011227685777592
BL000000,RYEM,TWIN,-0.00106344467381594
BL000000,RYEM,WHEA,-0.00102973570290529
BL000000,RYEM,BEEF,-0.00103729917262865
BL000000,RYEM,PORK,-0.00103235412851182
BL000000,RYEM,SGMT,-0.00171376498319718
BL000000,RYEM,EGGS,-0.00109109517631219
BL000000,RYEM,POUM,-0.00104328806164907
BL000000,RYEM,SUGA,-0.0010339308953163
BL000000,RYEM,OTHO,-0.00103202392960788
BL000000,RYEM,MILK,-0.00103082000609649
BL000000,RYEM,INPE,-0.369071413120648
BL000000,BARL,RYEM,-2.9677653480501e-05
BL000000,BARL,BARL,0.392436917028356
BL000000,BARL,OATS,-5.5634183427179e-05
BL000000,BARL,MAIZ,-0.00142837204084345
BL000000,BARL,OCER,-0.0001
BL000000,BARL,RAPE,-0.00139796528387902
BL000000,BARL,PULS,-4.05066827451496e-05
BL000000,BARL,POTA,-0.00133581503812862
BL000000,BARL,TEXT,-0.00115128337851493
BL000000,BARL,TOMA,-0.00142316422349933
BL000000,BARL,OVEG,-0.0013372610432933
BL000000,BARL,APPL,-0.00127230665917889
BL000000,BARL,OFRU,-0.00134831823125353
BL000000,BARL,TAGR,-0.00026958361887583
BL000000,BARL,TWIN,-0.000843815307045726
BL000000,BARL,WHEA,-0.00136871169471662
BL000000,BARL,BEEF,-0.00165472535774553
BL000000,BARL,PORK,-0.00148062216416729
BL000000,BARL,SGMT,-0.00266962026614078
BL000000,BARL,EGGS,-0.00336071986558235
BL000000,BARL,POUM,-0.00186350762405386
BL000000,BARL,SUGA,-0.00144913834410032
BL000000,BARL,OTHO,-0.00142702821766651
BL000000,BARL,MILK,-0.001426341322486
BL000000,BARL,INPE,-0.363702798827532
BL000000,OATS,RYEM,-0.000666350973917359
BL000000,OATS,BARL,-0.00107963139939401
BL000000,OATS,OATS,0.39307983035764
BL000000,OATS,MAIZ,-0.00104910142914749
BL000000,OATS,OCER,-0.0001
BL000000,OATS,RAPE,-0.00105669073788129
BL000000,OATS,PULS,-0.000857281319351979
BL000000,OATS,POTA,-0.0010360055733755
BL000000,OATS,TEXT,-0.00107639902113498
BL000000,OATS,TOMA,-0.00104232931843586
BL000000,OATS,OVEG,-0.00103608838574274
BL000000,OATS,APPL,-0.00106866752885935
BL000000,OATS,OFRU,-0.00103673504823653
BL000000,OATS,TAGR,-0.00118074255979069
BL000000,OATS,TWIN,-0.00109730105612449
BL000000,OATS,WHEA,-0.00103858397274002
BL000000,OATS,BEEF,-0.00105243049889797
BL000000,OATS,PORK,-0.00104339033037533
BL000000,OATS,SGMT,-0.0022583956708149
BL000000,OATS,EGGS,-0.0011506908496994
BL000000,OATS,POUM,-0.00106337549110169
BL000000,OATS,SUGA,-0.00104619336460141
BL000000,OATS,OTHO,-0.00104274765472811
BL000000,OATS,MILK,-0.00104058291562971
BL000000,OATS,INPE,-0.368960115257659
BL000000,MAIZ,RYEM,-1.00682923083702e-05
BL000000,MAIZ,BARL,-0.000492700282617206
BL000000,MAIZ,OATS,-1.86476951417437e-05
BL000000,MAIZ,MAIZ,0.390635761234838
BL000000,MAIZ,OCER,-6.43299152608925e-05
BL000000,MAIZ,RAPE,-0.00102788319821592
BL000000,MAIZ,PULS,-1.36190781399893e-05
BL000000,MAIZ,POTA,-0.00199296531941222
BL000000,MAIZ,TEXT,-0.000525087323622131
BL000000,MAIZ,TOMA,-0.00193500259366579
BL000000,MAIZ,OVEG,-0.00199553625430057
BL000000,MAIZ,APPL,-0.00067726035816931
BL000000,MAIZ,OFRU,-0.00201262491794151
BL000000,MAIZ,TAGR,-8.55315985937471e-05
BL000000,MAIZ,TWIN,-0.000306613823391877
BL000000,MAIZ,WHEA,-0.00193004508964971
BL000000,MAIZ,BEEF,-0.00291520903341809
BL000000,MAIZ,PORK,-0.00242727334841138
BL000000,MAIZ,SGMT,-0.000987230300570922
