model_region,activity,item,value
AT11,DCOL,ENNE,99.9617902890033
AT11,DCOL,CRPR,1.92781166331849
AT11,DCOL,DRMN,15.7557854359317
AT11,DCOL,DRMX,-18.9069425231181
AT11,DCOL,DAYS,365.0
AT11,DCOH,ENNE,129.32840628839
AT11,DCOH,CRPR,2.65424348379872
AT11,DCOH,DRMN,18.6297798185135
AT11,DCOH,DRMX,-22.3557357822162
AT11,DCOH,DAYS,365.0
AT11,BULL,ENNE,55.8864113081689
AT11,BULL,CRPR,1.05051067230677
AT11,BULL,DRMN,7.02825685703751
AT11,BULL,DRMX,-10.5423852855563
AT11,BULL,DAYS,155.604795527809
AT11,BULH,ENNE,67.8185393358856
AT11,BULH,CRPR,1.24873310660979
AT11,BULH,DRMN,6.99989023031953
AT11,BULH,DRMX,-10.4998353454793
AT11,BULH,DAYS,252.397992124042
AT11,HEIL,ENNE,52.8893021009679
AT11,HEIL,CRPR,0.999394967500716
AT11,HEIL,DRMN,7.62086285348951
AT11,HEIL,DRMX,-11.4312942802343
AT11,HEIL,DAYS,205.575287504468
AT11,HEIH,ENNE,58.0295105746065
AT11,HEIH,CRPR,1.07621633497556
AT11,HEIH,DRMN,8.72612819317051
AT11,HEIH,DRMX,-13.0891922897558
AT11,HEIH,DAYS,396.099551521541
AT11,SCOW,ENNE,61.5768935220672
AT11,SCOW,CRPR,1.17657758305461
AT11,SCOW,DRMN,10.8916016765395
AT11,SCOW,DRMX,-13.0699220118474
AT11,SCOW,DAYS,365.0
AT11,HEIR,ENNE,36.9880789326166
AT11,HEIR,CRPR,0.712719478257707
AT11,HEIR,DRMN,8.20234218923686
AT11,HEIR,DRMX,-12.3035132838553
AT11,HEIR,DAYS,604.714326005589
AT11,CAMF,ENNE,24.7318436490987
AT11,CAMF,CRPR,0.479659210902958
AT11,CAMF,DRMN,2.73641963748229
AT11,CAMF,DRMX,-4.10462945622343
AT11,CAMF,DAYS,127.508305703821
AT11,CAFF,ENNE,26.1168274460021
AT11,CAFF,CRPR,0.504181413722788
AT11,CAFF,DRMN,2.73990477441786
AT11,CAFF,DRMX,-4.10985716162679
AT11,CAFF,DAYS,127.79113535465
AT11,CAMR,ENNE,23.7307655036449
AT11,CAMR,CRPR,0.462809720143801
AT11,CAMR,DRMN,3.36562315068493
AT11,CAMR,DRMX,-5.0484347260274
AT11,CAMR,DAYS,365.0
AT11,CAFR,ENNE,23.0007508696762
AT11,CAFR,CRPR,0.4482320610141
AT11,CAFR,DRMN,3.27000123287671
AT11,CAFR,DRMX,-4.90500184931507
AT11,CAFR,DAYS,365.0
AT11,PIGF,ENNE,19.4551218177114
AT11,PIGF,CRPR,0.41819055972634
AT11,PIGF,DRMN,2.30905135485982
AT11,PIGF,DRMX,-2.77086162583178
AT11,PIGF,DAYS,155.955821096003
AT11,SOWS,ENNE,30.9426850496139
AT11,SOWS,CRPR,0.710716972789124
AT11,SOWS,DRMN,3.59448039895295
AT11,SOWS,DRMX,-4.31337647874354
AT11,SOWS,DAYS,365.0
AT11,SHGM,ENNE,6.80280966130542
AT11,SHGM,CRPR,0.133406667593083
AT11,SHGM,DRMN,1.7917422736819
AT11,SHGM,DRMX,-2.68761341052285
AT11,SHGM,DAYS,365.0
AT11,SHGF,ENNE,2.94383274609889
AT11,SHGF,CRPR,0.0618661518445722
AT11,SHGF,DRMN,0.444679513995336
AT11,SHGF,DRMX,-0.667019270993005
AT11,SHGF,DAYS,274.127161957923
AT11,HENS,ENNE,860.171437621755
AT11,HENS,CRPR,17.1564617132181
AT11,HENS,DRMN,84.1685430188639
AT11,HENS,DRMX,-157.81601816037
AT11,HENS,DAYS,365.0
AT11,POUF,ENNE,919.792601353329
AT11,POUF,CRPR,21.383937088079
AT11,POUF,DRMN,74.3535148981286
AT11,POUF,DRMX,-111.530272347193
AT11,POUF,DAYS,55.2839962723273
AT11,DCOW,ENNE,114.645098277332
AT11,DCOW,CRPR,2.29102757327781
AT11,DCOW,DRMN,17.1927826261069
AT11,DCOW,DRMX,-20.6313391513283
AT11,DCOW,DAYS,365.0
AT11,BULF,ENNE,124.964403877072
AT11,BULF,CRPR,2.32265262388012
AT11,BULF,DRMN,14.1709691418541
AT11,BULF,DRMX,-21.2564537127811
AT11,BULF,DAYS,204.001393825919
AT11,HEIF,ENNE,87.8622353657606
AT11,HEIF,CRPR,1.64415615698493
AT11,HEIF,DRMN,12.9489591550587
AT11,HEIF,DRMX,-19.423438732588
AT11,HEIF,DAYS,300.837419512978
AT11,CATA,ENNE,73.9292750116876
AT11,CATA,CRPR,1.43381056601023
AT11,CATA,DRMN,10.6509593685375
AT11,CATA,DRMX,-14.9063302043361
AT11,BEFM,ENNE,100.557099466611
AT11,BEFM,CRPR,1.88708838406719
AT11,BEFM,DRMN,13.7960630556969
AT11,BEFM,DRMX,-18.9834778358161
AT11,PKPL,ENNE,202.140071686131
AT11,PKPL,CRPR,4.52648406259413
AT11,PKPL,DRMN,20.0135959918505
AT11,PKPL,DRMX,-27.3650974358155
AT12,DCOL,ENNE,98.9091271048522
AT12,DCOL,CRPR,1.91102973854013
AT12,DCOL,DRMN,15.4600271564766
AT12,DCOL,DRMX,-18.5520325877719
AT12,DCOL,DAYS,365.0
AT12,DCOH,ENNE,128.65068647553
AT12,DCOH,CRPR,2.64176621116393
AT12,DCOH,DRMN,18.1369422128032
AT12,DCOH,DRMX,-21.7643306553638
AT12,DCOH,DAYS,365.0
AT12,BULL,ENNE,58.7447460310494
AT12,BULL,CRPR,1.11378400967181
AT12,BULL,DRMN,7.02405534066523
AT12,BULL,DRMX,-10.5360830109978
AT12,BULL,DAYS,138.885129548136
AT12,BULH,ENNE,66.6646740334621
AT12,BULH,CRPR,1.28630930946137
AT12,BULH,DRMN,6.99982829197886
AT12,BULH,DRMX,-10.4997424379683
AT12,BULH,DAYS,252.375441868022
AT12,HEIL,ENNE,53.943345454047
AT12,HEIL,CRPR,1.00403509128624
AT12,HEIL,DRMN,7.62120719948705
AT12,HEIL,DRMX,-11.4318107992306
AT12,HEIL,DAYS,189.902956106586
AT12,HEIH,ENNE,57.3937576608929
AT12,HEIH,CRPR,1.08019003864317
AT12,HEIH,DRMN,8.72647836393938
AT12,HEIH,DRMX,-13.0897175459091
AT12,HEIH,DAYS,396.17788499357
AT12,SCOW,ENNE,61.5176832209283
AT12,SCOW,CRPR,1.17580598705038
AT12,SCOW,DRMN,10.8914675054039
AT12,SCOW,DRMX,-13.0697610064847
AT12,SCOW,DAYS,365.0
AT12,HEIR,ENNE,37.0871758711345
AT12,HEIR,CRPR,0.710290797109831
AT12,HEIR,DRMN,8.26128256257816
AT12,HEIR,DRMX,-12.3919238438672
AT12,HEIR,DAYS,604.714326005589
AT12,CAMF,ENNE,24.6657063815515
AT12,CAMF,CRPR,0.467801684269027
AT12,CAMF,DRMN,2.73628076565696
AT12,CAMF,DRMX,-4.10442114848543
AT12,CAMF,DAYS,127.497048591593
AT12,CAFF,ENNE,26.0155323121578
AT12,CAFF,CRPR,0.49190000331135
AT12,CAFF,DRMN,2.73990601296598
AT12,CAFF,DRMX,-4.10985901944897
AT12,CAFF,DAYS,127.791235976193
