model_region,activity,item,value
AT11,DCOL,FGRA,5424.96319914813
AT11,DCOL,FMAI,6986.17119910458
AT11,DCOL,FOFA,5183.18502211251
AT11,DCOL,FROO,28.3605628408844
AT11,DCOL,FSTR,100.236218567773
AT11,DCOL,FCER,719.265185480643
AT11,DCOL,FPRO,292.36965515892
AT11,DCOL,FOTH,124.084152550888
AT11,DCOL,FEED,785.299006404943
AT11,DCOH,FGRA,5417.95413784674
AT11,DCOH,FMAI,6967.08797760884
AT11,DCOH,FOFA,5202.54449279561
AT11,DCOH,FROO,28.0641827436493
AT11,DCOH,FSTR,123.936158923407
AT11,DCOH,FCER,1678.50254182584
AT11,DCOH,FPRO,712.619458237938
AT11,DCOH,FOTH,158.223401535163
AT11,DCOH,FEED,1111.56439891599
AT11,BULL,FGRA,1474.85212331013
AT11,BULL,FMAI,1779.28848716175
AT11,BULL,FOFA,1321.95446920416
AT11,BULL,FROO,8.94669000385415
AT11,BULL,FSTR,28.9037772001085
AT11,BULL,FCER,119.492507654997
AT11,BULL,FPRO,45.1103399486621
AT11,BULL,FOTH,28.2882574226455
AT11,BULL,FEED,179.627040071567
AT11,BULH,FGRA,2489.4725521917
AT11,BULH,FMAI,3310.74448743339
AT11,BULH,FOFA,2318.56493626236
AT11,BULH,FROO,13.782716738964
AT11,BULH,FSTR,51.4740997010205
AT11,BULH,FCER,397.012012124073
AT11,BULH,FPRO,92.2861256620224
AT11,BULH,FOTH,53.9195412482567
AT11,BULH,FEED,358.556234233871
AT11,HEIL,FGRA,1956.17879840032
AT11,HEIL,FMAI,2210.15282598129
AT11,HEIL,FOFA,1735.50635507729
AT11,HEIL,FROO,12.2660601004437
AT11,HEIL,FSTR,36.9514124161662
AT11,HEIL,FCER,125.828490951806
AT11,HEIL,FPRO,49.7358869734019
AT11,HEIL,FOTH,36.6877021734421
AT11,HEIL,FEED,224.063616483647
AT11,HEIH,FGRA,3560.27570619422
AT11,HEIH,FMAI,4647.4097703048
AT11,HEIH,FOFA,3291.11139134546
AT11,HEIH,FROO,20.3851555382259
AT11,HEIH,FSTR,69.851341192397
AT11,HEIH,FCER,420.907588827364
AT11,HEIH,FPRO,121.821605311143
AT11,HEIH,FOTH,72.5154647635544
AT11,HEIH,FEED,476.873004355904
AT11,SCOW,FGRA,3687.10702350449
AT11,SCOW,FMAI,4581.22719562674
AT11,SCOW,FOFA,3484.85839124674
AT11,SCOW,FROO,19.8052066921701
AT11,SCOW,FSTR,65.6114291342763
AT11,SCOW,FCER,298.600177482706
AT11,SCOW,FPRO,138.217879815337
AT11,SCOW,FOTH,78.9481846260916
AT11,SCOW,FEED,471.564279979319
AT11,HEIR,FGRA,3670.2743631978
AT11,HEIR,FMAI,4489.75908502894
AT11,HEIR,FOFA,3483.01398055161
AT11,HEIR,FROO,19.9732972457663
AT11,HEIR,FSTR,64.959604406551
AT11,HEIR,FCER,300.455251596554
AT11,HEIR,FPRO,146.891789488563
AT11,HEIR,FOTH,81.0295958282636
AT11,HEIR,FEED,472.994796077669
AT11,CAMF,FGRA,528.686831700663
AT11,CAMF,FMAI,585.184058539318
AT11,CAMF,FOFA,504.973585534544
AT11,CAMF,FROO,4.22129354238213
AT11,CAMF,FCOM,39.2662819910589
AT11,CAMF,FSTR,8.82304696696454
AT11,CAMF,FCER,36.786346682868
