model_region,activity,nutrient,value
AT11,SWHE,N,37.5807256206944
AT11,SWHE,P2O5,10.8357725205968
AT11,SWHE,K2O,65.0146351235807
AT11,DWHE,N,35.4571500862116
AT11,DWHE,P2O5,9.56162719990711
AT11,DWHE,K2O,57.3697631994426
AT11,RYEM,N,36.0780486659745
AT11,RYEM,P2O5,9.93416634776482
AT11,RYEM,K2O,59.6049980865889
AT11,BARL,N,39.1575080120636
AT11,BARL,P2O5,11.7818419554183
AT11,BARL,K2O,70.6910517325098
AT11,OATS,N,38.8499098204498
AT11,OATS,P2O5,11.59728304045
AT11,OATS,K2O,69.5836982427
AT11,CORN,N,118.622335375174
AT11,CORN,P2O5,47.5590788828513
AT11,CORN,K2O,29.724424301782
AT11,OCER,N,34.864977713723
AT11,OCER,P2O5,9.20632377641396
AT11,OCER,K2O,55.2379426584837
AT11,RAPE,N,71.211119313667
AT11,RAPE,P2O5,28.1945533967094
AT11,RAPE,K2O,15.6636407759497
AT11,SUNF,N,61.0077806355536
AT11,SUNF,P2O5,23.7066719328688
AT11,SUNF,K2O,35.5600078993033
AT11,SOYA,N,92.529239476819
AT11,SOYA,P2O5,20.1401750962168
AT11,SOYA,K2O,30.2102626443252
AT11,OOIL,N,37.8022228757561
AT11,OOIL,P2O5,9.74992966545225
AT11,OOIL,K2O,9.74992966545225
AT11,OIND,N,208.86618379277
AT11,OIND,P2O5,151.476063231789
AT11,OIND,K2O,132.541555327815
AT11,NURS,N,150.454515948102
AT11,NURS,P2O5,86.9943061154774
AT11,NURS,K2O,79.0857328322522
AT11,FLOW,N,150.454515948102
AT11,FLOW,P2O5,104.746728956055
AT11,FLOW,K2O,91.653387836548
AT11,OCRO,N,61.1216199132365
AT11,OCRO,P2O5,14.7614731213625
AT11,OCRO,K2O,13.4195210194205
AT11,MAIF,N,35.0009306710022
AT11,MAIF,P2O5,9.29719274352497
AT11,MAIF,K2O,20.4538240357549
AT11,ROOF,N,48.1691915473983
AT11,ROOF,P2O5,14.3240433971826
AT11,ROOF,K2O,65.797809560875
AT11,OFAR,N,53.6944194615671
AT11,OFAR,P2O5,9.11477126624229
AT11,OFAR,K2O,19.5316527133763
AT11,GRAE,N,36.5303602760292
AT11,GRAE,P2O5,6.15264020770586
AT11,GRAE,K2O,14.356160484647
AT11,GRAI,N,59.2093676400241
AT11,GRAI,P2O5,14.356160484647
AT11,GRAI,K2O,33.4977077975097
AT11,PULS,N,35.7749513132284
AT11,PULS,P2O5,4.7572233834718
AT11,PULS,K2O,5.55009394738377
AT11,POTA,N,57.8356507539735
AT11,POTA,P2O5,15.3258184003762
AT11,POTA,K2O,65.682078858755
AT11,SUGB,N,205.894449332097
AT11,SUGB,P2O5,103.540746988369
AT11,SUGB,K2O,167.642184521358
AT11,TEXT,N,20.5735116212112
AT11,TEXT,P2O5,27.3367942739871
AT11,TEXT,K2O,51.2564892637259
AT11,TOBA,N,72.1558955555798
AT11,TOBA,P2O5,7.01797210700623
AT11,TOBA,K2O,78.9521862038201
AT11,TOMA,N,119.521104753033
AT11,TOMA,P2O5,71.1546662663329
AT11,TOMA,K2O,60.9897139425711
AT11,OVEG,N,86.9893874452938
AT11,OVEG,P2O5,23.6138989422912
AT11,OVEG,K2O,20.2404848076782
AT11,APPL,N,45.4618264939913
AT11,APPL,P2O5,7.07474229298861
AT11,APPL,K2O,37.7319588959392
AT11,OFRU,N,41.6256359468576
AT11,OFRU,P2O5,4.4209062387649
AT11,OFRU,K2O,18.7888515147508
AT11,TWIN,N,20.5847261590596
AT11,TWIN,P2O5,4.91000291981507
AT11,TWIN,K2O,11.5723103670614
AT11,FALL,N,19.5211047530331
AT11,VSET,N,19.5211047530331
AT11,DCOL,N,85.5347467270025
AT11,DCOL,P2O5,65.4867106113454
AT11,DCOL,K2O,144.986884968331
AT11,DCOH,N,111.153416042049
AT11,DCOH,P2O5,79.2441919181303
AT11,DCOH,K2O,161.151925503803
AT11,BULL,N,22.4799990198367
AT11,BULL,P2O5,12.8481772815786
AT11,BULL,K2O,35.332487524341
AT11,BULH,N,40.6097454065905
AT11,BULH,P2O5,26.1038243209789
AT11,BULH,K2O,71.785516882692
AT11,HEIL,N,27.6311547346754
