model_region,group1,group2,value
AT11,CERE,CERE,137.010174767172
AT11,CERE,CER2,56.3932901826931
AT11,CERE,OILS,-38.2298497936497
AT11,CERE,FARA,-93.4991596972663
AT11,CERE,OARA,30.2120625315927
AT11,CER2,CER2,176.647646852599
AT11,CER2,OILS,169.744036939911
AT11,CER2,FARA,-134.598372254528
AT11,CER2,OARA,-2.53889771765275
AT11,OILS,OILS,272.542150182031
AT11,OILS,FARA,-96.0005592358908
AT11,OILS,OARA,-19.5644318169285
AT11,FARA,FARA,149.742700579759
AT11,OARA,FARA,-38.3952728092183
AT11,OARA,OARA,59.251131076448
AT12,CERE,CERE,11.478397434559
AT12,CERE,CER2,3.59941094319758
AT12,CERE,OILS,4.18511035682939
AT12,CERE,FARA,2.40222697916704
AT12,CERE,OARA,6.65597838724746
AT12,CER2,CER2,110.465635445001
AT12,CER2,OILS,-92.7810132247863
AT12,CER2,FARA,31.0313015125928
AT12,CER2,OARA,34.8589620859691
AT12,OILS,OILS,115.506708165121
AT12,OILS,FARA,-57.7840353279186
AT12,OILS,OARA,-44.9388122573671
AT12,FARA,FARA,68.5794699847447
AT12,OARA,FARA,37.3247578751433
AT12,OARA,OARA,27.0944546367141
AT21,CERE,CERE,134.052842187491
AT21,CERE,CER2,41.2882714507393
AT21,CERE,OILS,-62.6528632136624
AT21,CERE,FARA,-83.3047050662604
AT21,CERE,OARA,23.6692407254702
AT21,CER2,CER2,96.0205558863109
AT21,CER2,OILS,234.241124215895
AT21,CER2,FARA,-96.9977665555961
AT21,CER2,OARA,-1.81438898488002
AT21,OILS,OILS,836.840242491738
AT21,OILS,FARA,-173.198848648212
AT21,OILS,OARA,32.5419785706571
AT21,FARA,FARA,170.508509000544
AT21,OARA,FARA,11.6327931865202
AT21,OARA,OARA,154.214957252969
AT22,CERE,CERE,192.205027738373
AT22,CERE,CER2,-34.4402533514926
AT22,CERE,OILS,-426.612060525321
AT22,CERE,FARA,-4.5245938181137
AT22,CERE,OARA,29.7846004453221
AT22,CER2,CER2,27.1989495100885
AT22,CER2,OILS,126.996613963749
AT22,CER2,FARA,-42.2235322851871
AT22,CER2,OARA,8.7043600746767
AT22,OILS,OILS,1150.22612853984
AT22,OILS,FARA,-77.6180491543631
AT22,OILS,OARA,-122.349134713802
AT22,FARA,FARA,100.24483207721
AT22,OARA,FARA,9.90993173344506
AT22,OARA,OARA,470.075659063487
AT31,CERE,CERE,7.92911046740458
AT31,CERE,CER2,-2.9821249640837
AT31,CERE,OILS,-23.7503232473632
AT31,CERE,FARA,4.51581512174825
AT31,CERE,OARA,-6.12292467710121
AT31,CER2,CER2,41.7654694194812
AT31,CER2,OILS,93.9690178355746
AT31,CER2,FARA,-48.2120858931389
AT31,CER2,OARA,-25.2073933482569
AT31,OILS,OILS,283.751704061094
AT31,OILS,FARA,-132.841335100403
AT31,OILS,OARA,-26.8431638761773
AT31,FARA,FARA,70.1387700521239
AT31,OARA,FARA,18.3902708391354
AT31,OARA,OARA,35.7286879333883
LU00,CERE,CERE,4.54665302345155
LU00,CERE,CER2,25.0948817172991
LU00,CERE,OILS,23.2398534343191
LU00,CERE,FARA,-30.2322569117628
LU00,CER2,CER2,197.09414931031
LU00,CER2,OILS,56.058710165865
LU00,CER2,FARA,-157.895324493472
LU00,OILS,OILS,419.177432362874
LU00,OILS,FARA,-258.59243306196
LU00,FARA,FARA,243.320928164602
LU00,OARA,OARA,54.5800951256874
BE21,CERE,CERE,309.471121230821
BE21,CERE,CER2,-168.748103659758
BE21,CERE,FARA,-20.9499183089246
BE21,CERE,OARA,187.344933989461
BE21,CER2,CER2,385.920820871972
BE21,CER2,FARA,51.3796701243371
BE21,CER2,OARA,-1301.4832288694
BE21,OILS,OILS,1433.41261099823
BE21,FARA,FARA,7.57821181887855
BE21,OARA,FARA,-199.931224174575
BE21,OARA,OARA,5812.00950708615
BE22,CERE,CERE,22.2572143004633
BE22,CERE,CER2,3.61049513308175
BE22,CERE,FARA,-11.1507851072006
BE22,CERE,OARA,91.6805635747676
BE22,CER2,CER2,41.8835768424422
BE22,CER2,FARA,-19.5034798936034
BE22,CER2,OARA,120.137585519617
BE22,OILS,OILS,2732.09518653339
BE22,FARA,FARA,43.4264888240256
BE22,OARA,FARA,-154.184296091835
BE22,OARA,OARA,777.755624602178
BE23,CERE,CERE,35.302296333934
BE23,CERE,CER2,-23.7588305913853
BE23,CERE,FARA,59.6103818958056
BE23,CERE,OARA,-191.01896049276
BE23,CER2,CER2,40.4380331483137
BE23,CER2,FARA,-67.7517931217787
BE23,CER2,OARA,219.163429539405
BE23,OILS,OILS,810.368112739752
BE23,FARA,FARA,145.587864227946
BE23,OARA,FARA,-439.640114132801
BE23,OARA,OARA,1385.11657429456
BE24,CERE,CERE,207.458898471674
BE24,CERE,CER2,93.829728960144
BE24,CERE,FARA,45.7400645816898
BE24,CERE,OARA,-139.647284634497
BE24,CER2,CER2,66.4276424987779
BE24,CER2,FARA,14.593826261477
BE24,CER2,OARA,-60.8806617692899
BE24,OILS,OILS,274.777492205683
BE24,FARA,FARA,16.1750641723795
BE24,OARA,FARA,-56.3675811579934
BE24,OARA,OARA,231.798090328449
BE25,CERE,CERE,28.721822641387
BE25,CERE,CER2,-46.8184751001001
BE25,CERE,FARA,64.010962425088
BE25,CERE,OARA,-89.288269576455
BE25,CER2,CER2,123.983244450661
BE25,CER2,FARA,-146.970683452818
BE25,CER2,OARA,201.134578656065
BE25,OILS,OILS,396.368710966074
BE25,FARA,FARA,180.781678338853
BE25,OARA,FARA,-248.706556713777
BE25,OARA,OARA,342.40114715809
BE31,CERE,CERE,69.9053799407118
BE31,CERE,FARA,-130.759514354393
BE31,CERE,OARA,-237.247066869305
BE31,CER2,CER2,27.5939175804619
BE31,OILS,OILS,67.8653512837121
BE31,FARA,FARA,287.461788050811
BE31,OARA,FARA,487.798826823007
BE31,OARA,OARA,850.380236404881
BE32,CERE,CERE,27.4833826573709
BE32,CERE,FARA,35.4825753458667
BE32,CERE,OARA,-80.7317120661068
BE32,CER2,CER2,12.962111478849
BE32,OILS,OILS,37.7396671433709
BE32,FARA,FARA,51.3076567986293
BE32,OARA,FARA,-96.2578279321612
BE32,OARA,OARA,248.705181427893
BE33,CERE,CERE,103.112047863346
BE33,CERE,FARA,-93.834850653114
BE33,CERE,OARA,-374.456275951716
BE33,CER2,CER2,49.044756308827
BE33,OILS,OILS,31.2746460174655
BE33,FARA,FARA,143.089326944516
BE33,OARA,FARA,359.868200988704
BE33,OARA,OARA,1366.18018621417
BE34,CERE,CERE,8.53651725629237
BE34,CERE,CER2,-124.419627797994
BE34,CERE,FARA,26.7900630311891
BE34,CER2,CER2,1813.4145760239
BE34,CER2,FARA,-390.433275108892
BE34,OILS,OILS,137.655160581622
BE34,FARA,FARA,92.2453663502886
BE34,OARA,OARA,52.3168005186652
BE35,CERE,CERE,2.33567177538272
BE35,CERE,OILS,9.95159383978005
BE35,CERE,FARA,-14.0676446609916
BE35,CERE,OARA,-34.7454496323659
BE35,CER2,CER2,35.3766297936873
BE35,OILS,OILS,475.284915451024
BE35,OILS,FARA,-154.56627702626
BE35,OILS,OARA,-89.7725167570295
BE35,FARA,FARA,105.414481360107
BE35,OARA,FARA,196.533037796503
BE35,OARA,OARA,524.716199924099
CY00,CERE,CERE,31.1376508710799
CY00,CERE,FARA,5.18178313642321
CY00,CERE,OARA,-213.899225872682
CY00,CER2,CER2,20.1746518565698
CY00,FARA,FARA,109.826755624936
CY00,OARA,FARA,95.0453861365134
CY00,OARA,OARA,1626.00572821014
CZ02,CERE,CERE,1.70262174086146
CZ02,CERE,CER2,-0.716983709850266
CZ02,CERE,OILS,1.01483529571921
CZ02,CERE,FARA,3.07570542523935
CZ02,CERE,OARA,-1.97939836024218
CZ02,CER2,CER2,10.7622476791846
CZ02,CER2,OILS,-22.2906560835687
CZ02,CER2,FARA,-1.42488202597326
CZ02,CER2,OARA,-34.9981822369739
CZ02,OILS,OILS,66.9456653828531
CZ02,OILS,FARA,6.86800272532252
CZ02,OILS,OARA,113.05410202962
CZ02,FARA,FARA,17.315738763263
CZ02,OARA,FARA,-9.81619041956838
CZ02,OARA,OARA,223.327303415703
CZ03,CERE,CERE,9.70987071475324
CZ03,CERE,CER2,-13.9485303049666
CZ03,CERE,OILS,-16.2705209984575
CZ03,CERE,FARA,3.69832743903957
CZ03,CERE,OARA,5.78676776726161
CZ03,CER2,CER2,20.8158039210494
CZ03,CER2,OILS,23.5028768249717
CZ03,CER2,FARA,-5.38064059677944
CZ03,CER2,OARA,-6.78412828337221
CZ03,OILS,OILS,33.8152709406806
CZ03,OILS,FARA,1.27720218964365
CZ03,OILS,OARA,-6.94561057935909
CZ03,FARA,FARA,12.3114332936634
CZ03,OARA,FARA,5.73892922219246
CZ03,OARA,OARA,7.68667089356805
CZ04,CERE,CERE,17.207865872811
