commodity,rhoArm1,rhoArm2
APPL,2.8,5.6
BARL,3.2,6.4
BEEF,3.5,7.1
BIOD,2.2,4.5
BIOE,2.2,4.5
BUTT,2.1,4.3
CASE,4.2,8.5
CHES,3.7,7.3
CITR,4.4,8.7
COCM,2.6,5.2
COCO,5.6,11.3
COFF,3.5,7.1
CREM,4.9,9.8
DDGS,1.2,2.4
EGGS,2.9,5.7
FENI,4.0,8.0
FRMI,4.1,8.1
MAIZ,2.7,5.5
OATS,2.2,4.4
OCER,2.9,5.7
OFRU,5.1,10.2
OLIO,5.6,11.2
OVEG,3.8,7.5
PLMO,5.3,10.6
PORK,6.7,13.4
POTA,2.4,4.9
POUM,3.7,7.3
PULS,3.2,6.4
RAPC,4.6,9.1
RAPE,3.8,7.6
RAPO,6.3,12.6
RICE,4.0,8.0
RYEM,3.4,6.8
SGMT,3.2,6.4
SMIP,3.3,6.6
SOYA,2.0,4.0
SOYC,6.1,12.2
SOYO,5.9,11.8
SUGA,3.6,7.1
SUNC,4.0,8.0
SUNF,3.8,7.5
SUNO,6.5,12.9
TABO,4.1,8.1
TAGR,3.7,7.4
TEAS,3.5,7.1
TEXT,8.2,16.5
TOBA,1.8,3.5
TOMA,3.1,6.3
TWIN,2.6,5.2
WHEA,3.9,7.8
WHEP,2.0,3.9
WMIO,3.5,7.0
pork,4.0,8.0
