region,EGGS,BUTT,SMIP,CHES,CREM,POUM,MILK
AL000,,0.86,,13.6,0.4,,27.3
AT000,119.0,35.86,6.82,205.48,72.97,125.0,1214.3
BE000,112.7,112.35,162.45,114.86,253.96,259.0,2256.36
BG000,79.9,1.09,0.3,99.95,1.03,97.0,151.0
CS000,,5.2,1.69,55.25,29.03,,499.1
CY000,9.5,0.04,,32.06,3.43,28.0,66.51
CZ000,135.0,27.42,17.11,134.34,59.56,222.1,992.95
DE000,1068.7,490.65,392.79,2297.4,554.4,1588.0,9275.72
DK000,88.0,188.8,54.7,457.0,60.6,185.0,636.6
EE000,15.7,5.12,8.44,47.29,29.57,16.0,289.2
EL000,96.9,2.29,,207.43,13.29,186.0,691.05
ES000,761.3,48.65,15.17,442.23,125.21,1309.8,4144.59
FI000,48.8,60.99,20.34,83.82,65.64,87.0,641.47
FR000,953.0,416.24,340.1,1938.6,488.62,1749.0,5735.96
HR000,49.3,4.44,0.59,33.78,35.41,,534.68
HU000,138.6,8.63,0.8,86.13,8.31,377.0,777.71
IR000,47.3,284.6,142.5,278.4,21.0,123.0,752.1
IS000,,1.69,0.18,4.08,2.35,,
IT000,655.0,94.03,10.0,1327.3,146.46,1321.0,2718.22
LT000,41.6,14.32,21.45,97.85,8.54,33.0,360.8
LU000,5.2,3.19,0.7,2.37,3.0,-0.004,59.04
LV000,34.6,3.26,12.8,50.51,27.57,24.0,220.5
MK000,,0.53,,13.07,1.51,,78.14
MO000,,0.14,,1.78,1.06,,15.7
MT000,4.7,,,2.81,0.3,7.4,31.01
NL000,218.0,228.83,61.39,953.26,9.0,684.0,517.66
NO000,,20.0,7.9,96.1,26.3,,291.9
PL000,421.0,224.45,155.35,867.95,253.49,851.0,2913.53
PT000,99.0,30.46,19.82,81.32,24.81,342.0,1460.24
RO000,259.6,8.86,0.77,96.4,66.9,288.0,729.54
SE000,108.8,38.37,42.3,81.7,96.86,105.663,1130.08
SI000,20.3,2.54,1.7,15.8,12.15,61.0,241.15
SK000,73.3,10.06,1.87,43.3,27.72,88.0,323.1
TR000,,73.7,66.5,696.8,39.0,,1732.0
UK000,678.2,188.07,71.78,461.53,314.03,7.0,7359.13
