region_full,APPL,BARL,CER2,CERE,CITR,DWHE,FRUI,GREF,INDU,MAIF,MAIZ,NECR,OATS,OCER,OFAR,OILS,OIND,OLIV,OLIVGR,OOIL,PARI,POTA,PULS,RAPE,ROOF,RYEM,SOYA,SUGB,SUNF,SWHE,TABO,TAGR,TEXT,TOBA,TOMA,TWIN,VEGE,VINY
AL000000,136.95,12.65,684.0,666.1,49.2,,260.7,7170.59,4.4,554.85,399.13,,34.9,,6392.8,1.6,14.41,108.5,132.0,,0.01,254.89,22.95,,,3.24,0.44,26.95,1.26,233.4,23.5,17.9,12.0,1.44,313.1,100.9,1302.2,118.8
AT000000,255.41,738.24,5261.0,5261.0,,87.75,367.99,5333.9,406.98,4000.7,2394.82,13.55,96.65,329.25,1333.19,437.83,0.5,,,43.64,,770.28,45.02,85.92,5.08,163.38,233.1,3034.77,75.17,1450.91,,,8.92,0.4,59.77,319.79,658.46,319.79
AT100000,,461.34,3149.39,3211.94,,76.78,215.5,2313.31,286.54,1588.79,1001.67,5.47,,215.26,449.97,250.4,0.03,,,1.06,,781.68,33.54,72.33,4.36,174.16,124.96,1472.3,53.52,1146.55,,,,0.1,,,,355.2
AT110000,,43.44,518.04,559.79,,13.69,48.1,265.59,80.85,132.86,206.6,0.32,,17.43,53.82,65.1,,,,0.22,,56.87,5.84,14.97,0.61,21.59,64.4,122.72,10.06,206.8,,,,0.1,,,,104.1
AT120000,,415.91,2619.6,2640.82,,62.29,131.6,2045.76,204.87,1455.79,793.47,5.14,,197.65,395.09,184.0,0.03,,,0.82,,722.69,27.6,57.29,3.74,151.47,59.86,1340.65,43.41,934.17,,,,0.1,,,,248.7
AT130000,,2.0,11.74,11.33,,0.81,35.8,1.97,0.81,0.14,1.61,,,0.17,1.06,1.3,,,,0.01,,2.12,0.11,0.07,0.01,1.11,0.7,8.94,0.05,5.58,,,,,,,,2.3
AT200000,,91.46,1049.84,1054.39,,1.34,318.7,1187.59,29.74,911.15,805.04,1.78,,54.39,227.06,26.4,0.18,,,0.07,,39.31,2.72,1.03,1.86,15.24,28.81,20.74,1.43,68.2,,,,0.1,,,,18.6
AT210000,,33.49,276.75,263.03,,0.93,36.5,539.85,11.33,414.89,191.67,0.43,,19.38,108.63,8.6,,,,0.05,,15.15,1.41,0.11,0.08,5.12,10.55,1.46,0.4,20.98,,,,,,,,
AT220000,,57.97,773.09,791.37,,0.41,282.2,647.74,18.41,496.26,613.37,1.35,,35.01,118.42,17.8,0.18,,,0.02,,24.16,1.31,0.92,1.78,10.13,18.26,19.28,1.03,47.23,,,,0.1,,,,18.6
AT300000,,317.12,1468.8,1443.95,,1.21,150.5,2225.72,90.71,1776.8,605.22,6.64,,100.86,299.77,43.7,0.28,,,0.47,,64.91,6.54,26.92,4.56,43.14,48.73,598.64,1.23,368.32,,,,,,,,0.1
