,cost
SWHE,503.3944354838708
DWHE,503.3944354838708
RYEM,503.3944354838708
BARL,503.3944354838708
OATS,503.3944354838708
CORN,503.3944354838708
OCER,503.3944354838708
POTA,503.3944354838708
SUGB,503.3944354838708
SUNF,503.3944354838708
RAPE,503.3944354838708
SOYA,503.3944354838708
OOIL,503.3944354838708
PULS,503.3944354838708
TOMA,13509.234637096775
OVEG,13509.234637096775
APPL,1107.6465725806456
OFRU,1107.6465725806456
CITR,1107.6465725806456
TAGR,1467.0040322580646
WINE,1467.0040322580646
OLIV,1107.6465725806456
TOBA,1107.6465725806456
COTT,1107.6465725806456
OFIB,503.3944354838708
GRAS,503.3944354838708
MAIF,503.3944354838708
OFOD,503.3944354838708
SETA,503.3944354838708
DCOW,1048.1941129032261
BCOW,399.30290322580646
BULL,349.39391129032254
HFRS,299.4797983870968
CALV,199.65169354838704
SHGP,49.914354838709684
PIGS,206.39778225806455
PIGF,206.39778225806455
LAYS,9.63032258064516
BROI,4.818387096774193
OANI,300.0
