,count,mean,min,max,source
p_rateModFactorC,1,0.6,0.6,0.6,RothC_soilRespiration.gms
p_NetIncomeChange,1,1.0,1.0,1.0,addNetincome.gms
p_trqGlobl,36,2.777777777777778e-05,0.0,0.001,scen/trade_policies/WTO/wtoDefra.gms
p_trqBilat,93,107526916.33925809,0.0,10000000000.0,scen/trade_policies/WTO/wtohrb.gms
p_fixdomExpQ,9,0.1111111111111111,0.0,1.0,pol_input/fta/tariffline_cuts.gms
p_dpCESTrade,1,1000.0,1000.0,1000.0,arm/cal_armington.gms
p_cnstNQSupp,4,0.0,0.0,0.0,reports/welfare.gms
p_cnstNQProc,2,0.0,0.0,0.0,reports/welfare.gms
p_cnstNQDairy,2,0.0,0.0,0.0,reports/welfare.gms
p_weight,95,28.316842105263156,0.1,200.0,fao/fao_balance_consolidation.gms
p_exchgRateChangeFactor,2,1.0,1.0,1.0,arm/cal_models.gms
p_maxEU27Exports,3,425.0,0.0,1275.0,arm/data_cal.gms
P_RR,74,212.18216216216214,-2.0,4500.0,supply/pmp_elas.gms
p_infesReport,2,0.0,0.0,0.0,arm/market_model.gms
p_testDiff,14,0.0,0.0,0.0,arm/check_cal.gms
p_doubleZero,40,-0.325,-3.0,1.0,reports/sol_market.gms
p_maxEU27Imports,3,25.0,0.0,70.0,arm/market_model.gms
p_impPrice,6,0.0,0.0,0.0,reports/sol_market.gms
p_dataMarket,64,0.000625,0.0,0.04,special_ch/bas_data_ch.gms
p_globiomTightLink,4,0.0,0.0,0.0,cgemrk/map_data.gms
p_tradeFlows,19,0.5263157894736842,0.0,10.0,special_ch/bas_data_ch.gms
p_DataMarket,1,0.0,0.0,0.0,arm/data_prep.gms
p_growthRateMarketModelPos,10,1000.80555,0.0,10000.0,arm/prepare_market_data.gms
p_caloConsCor,1,2200.0,2200.0,2200.0,arm/data_prep.gms
p_shFstInSecRmall,2,0.35,0.2,0.5,reports/sol_market.gms
p_procCostShare,10,0.27,0.08,0.7,arm/def_dairy_prices.gms
p_lucAnnualFac,4,1.0,1.0,1.0,arm/prep_market.gms
p_foddShare,54,0.32333333333333336,0.02,0.95,pol_input/agmip/ylds_s6.gms
p_elasSupp,1,1.0,1.0,1.0,arm/define_land_params.gms
p_weightLnd,6,0.8333333333333334,0.5,1.0,arm/define_land_params.gms
p_shFstInSecMrk,1,0.05,0.05,0.05,arm/define_land_params.gms
p_lucPriorMrk,2,0.5,0.0,1.0,arm/define_land_params.gms
p_relPrice,5,21.222,0.01,100.0,arm/trim_elas.gms
p_feedCostShare,1,0.7,0.7,0.7,arm/feed_conv.gms
p_datyield,1,0.0,0.0,0.0,arm/ini_netTradeModel.gms
p_stockChgSlope,1,2.0,2.0,2.0,arm/ini_netTradeModel.gms
p_stockChgShare,1,0.05,0.05,0.05,arm/ini_netTradeModel.gms
p_gridHandlesT,1,0.0,0.0,0.0,arm/ini_netTradeModel.gms
p_keepTradeFlow,6,0.6666666666666666,0.0,1.0,arm/market_model.gms
p_rhoBioFuel,2,4.0,4.0,4.0,cgemrk/bev_parameters.gms
p_rhoFeed,14,2.9285714285714284,0.5,6.0,cgemrk/bev_parameters.gms
p_rhoArm1,72,3.6458333333333335,0.5,15.0,special_ch/market1_ch.gms
p_rhoArm2,69,6.811594202898551,1.5,16.5,special_ch/market1_ch.gms
p_rhoProc,2,0.01,0.01,0.01,cgemrk/bev_parameters.gms
p_feedBlkElas,1,-2.0,-2.0,-2.0,arm/market1.gms
p_landSupplyElas,10,0.20800000000000002,0.01,0.4,arm/market1.gms
p_inputSupplyElas,7,1.5542857142857145,0.01,10.0,arm/market1.gms
p_hessNQSupp,6,0.16666666666666666,0.0,1.0,reports/welfare.gms
p_hessNQFeed,3,0.0,0.0,0.0,reports/welfare.gms
p_hessNQDairy,3,0.0,0.0,0.0,reports/welfare.gms
p_hessNQProc,3,0.0,0.0,0.0,reports/welfare.gms
p_pbGL,4,0.0,0.0,0.0,reports/welfare.gms
p_pdGL,4,0.0,0.0,0.0,reports/welfare.gms
p_aLU,3,0.3333333333333333,0.0,1.0,arm/trim_elas.gms
p_bLU,2,0.0,0.0,0.0,arm/market1.gms
p_markupBiofFeedCost,1,0.0,0.0,0.0,arm/market_model.gms
p_stockDemElas,1,0.0,0.0,0.0,arm/market_model.gms
p_arm2Commit,2,0.0,0.0,0.0,arm/set_start_val.gms
p_deltaCES,1,1.0,1.0,1.0,arm/market_model.gms
p_transitA,1,0.0,0.0,0.0,arm/market_model.gms
p_transitB,1,1.0,1.0,1.0,arm/market_model.gms
p_oilCostShare,34,0.05647058823529412,0.0,0.3,arm/market_model.gms
p_trqSigmoidSlope,5,56.0,10.0,200.0,arm/trim_trqs.gms
p_expectedTrade,3,18.0,-1.0,55.0,pol_input/fta/ttip_modArm.gms
p_additivePPriMargin,1,1.0,1.0,1.0,arm/prep_market.gms
p_cSugarCalPar,1,0.0,0.0,0.0,arm/prep_market.gms
p_lstIters,12,48.166666666666664,-1.0,100.0,cgemrk/solve_presteps.gms
p_fapriData,1,0.0,0.0,0.0,arm/prepare_market_data.gms
p_AglinkTrade,1,0.0,0.0,0.0,arm/shift_quantities.gms
p_gridHandles,12,0.0,0.0,0.0,supply/solve_land_supply_estimation.gms
p_arm2Price,2,0.0,0.0,0.0,arm/tagg_before_calc.gms
p_Arm1Price,2,0.0,0.0,0.0,arm/tagg_before_calc.gms
p_price_null,5,0.0,0.0,0.0,arm/tagg_before_calc.gms
p_problems0,1,0.0,0.0,0.0,arm/tagg_before_calc.gms
p_tline_trq,4,0.0,0.0,0.0,arm/tagg_load_data_hs8.gms
p_impInQ,1,0.0,0.0,0.0,arm/tagg_model.gms
p_impOutQ,1,0.0,0.0,0.0,arm/tagg_model.gms
p_sigma_up,1,4.0,4.0,4.0,arm/tagg_model.gms
p_sigma_lo,1,8.0,8.0,8.0,arm/tagg_model.gms
p_nInfesTrimPar,1,0.0,0.0,0.0,arm/trim_elas.gms
p_oriYieldElasShar,9,0.4222222222222222,0.2,0.9,arm/trim_elas.gms
p_srFac,8,3.5125,0.3,10.0,arm/trim_elas.gms
P_XX,3,0.2333333333333333,0.1,0.3,arm/trim_elas.gms
p_wgtElasR,3,13.666666666666666,1.0,30.0,arm/trim_elas.gms
p_bLu,1,0.01,0.01,0.01,arm/trim_elas.gms
p_nTries,3,0.0,0.0,0.0,arm/trim_elas_start.gms
p_oriInputs,6,0.0,0.0,0.0,arm/trim_elas.gms
p_price,8,0.75,0.0,1.0,arm/trimdem_ini.gms
p_qx,18,-0.516661111111111,-3.0,2.0,arm/trim_elas_collect_solution.gms
P_budgetShare,1,0.0,0.0,0.0,arm/trim_elas.gms
p_oriElas,3,-0.08333333333333333,-1.5,1.0,arm/trim_elas.gms
p_priceN,1,1.0,1.0,1.0,arm/trim_elas.gms
p_elasFeedOri,1,-6.0,-6.0,-6.0,arm/trim_elas.gms
p_elasSuppOri,8,0.6832,0.5,0.8857,special_ch/sup_elas_ch.gms
p_numeraireBuying,1,0.0,0.0,0.0,arm/trim_intervent_bas.gms
p_numeraireRelease,1,0.0,0.0,0.0,arm/trim_intervent_bas.gms
p_elasBuying,1,-1.0,-1.0,-1.0,arm/trim_intervent_bas.gms
p_elasRelease,1,1.0,1.0,1.0,arm/trim_intervent_bas.gms
p_storeTRQ,1,0.0,0.0,0.0,arm/trim_trqs.gms
p_SpecialCHTrqbilat,11,0.0,0.0,0.0,special_ch/ch_global_settings_Default.gms
p_demElaLit,3,0.05000000000000001,0.05,0.05,arm/trimdem_decl.gms
p_elaHiera,3,0.31666666666666665,0.0,0.95,arm/trimdem_ini.gms
p_groupExpe,1,0.0,0.0,0.0,arm/trimdem_ini.gms
p_budShare,1,0.0,0.0,0.0,arm/trimdem_ini.gms
p_sourceWgtDelta,2,0.0,-0.45,0.45,arm/trimdem_ini.gms
p_dataCopy,15,109.93333333333334,0.0,1000.0,reports/yield_change_decomp.gms
