name,desc,source
geoRes,Geographic resolution,CAPRIunits.gms
type,Logical categories for filtering by end user,CAPRIunits.gms
CERE_DEF,Cereals,arm/arm_sets.gms
SED_DEF,Oilseeds,arm/arm_sets.gms
OIL_DEF,Oils derived from oilseeds,arm/arm_sets.gms
CAK_DEF,Cakes derived from oilseeds,arm/arm_sets.gms
MEAT_DEF,Meats in market model,arm/arm_sets.gms
DAIRY_DEF,Dairy products in market model exluding raw milk,arm/arm_sets.gms
CROPS_DEF,Crop products in market model,arm/arm_sets.gms
XX1_ADD_DEF,Inpe (all non agricultural goods) and ince (income),arm/arm_sets.gms
XX_DEF,The product list of the market model,arm/arm_sets.gms
SET_trimReqs,Animal requirements used in elasticity calibration,arm/arm_sets.gms
solvePosi,ordering set for ranking in fitit1 and fitit6,arm/arm_sets.gms
XXGRP,Pre-solve groups for the market model,arm/arm_sets.gms
demType,type of biofuel demmand,arm/arm_sets.gms
CalMarketWgtCols,Columns with weights in objective of market calibration,arm/arm_sets.gms
PreStep,Maximal # of presteps in market model,arm/arm_sets.gms
longYr,years with long run projections,pol_input/agmip/agclim50iii_scenarios.gms
ToRead_fao_agg,get some positions calculated in global into the universal set,arm/prepare_market_data.gms
lossStage,loss stages in the consumption sphere are in distributin and in households,coco2.gms
gRatePardim2,items on second dimension of p_growthRateMarketModelPos,arm/data_prep.gms
gRatePardim3,items on third dimension of p_growthRateMarketModelPos,arm/data_prep.gms
capriVariable,variables in CAPRI to follow up,arm/debug_opening_bounds.gms
estimated_vars,estimated variables,arm/def_ntm.gms
CalMarketWgtColsLnd,Items with weights in objective of land calibration,arm/define_land_params.gms
statisticsLuc,Items for the statistical process generating land transitions (LUC),supply/def_supply_model_par.gms
sharesLuc,Items featuring in parameter p_shFstInSec,supply/def_supply_model_par.gms
basCalCurLoLUp,frequently used positions in debugging efforts,arm/market_model.gms
someItemsForShFstInSec,Sume items used in p_shFstInSecRmall which are partly loaded from gdx,arm/market_model.gms
longScen,"All potentially available long-run Globiom, FAO (or other) scenarios",pol_input/agmip/agclim50iii_scenarios.gms
S_NETT,Get FAPRI column NETT into the universal set,arm/prepare_market_data.gms
h,solution headers,arm/tagg_before_calc.gms
chtrade_var,swiss trade variables,arm/tagg_load_data_hs8.gms
time,Status: before and after the liberalization,arm/tagg_model.gms
tariffitems,tariff variables,arm/tagg_sets.gms
inpInfo,Prior information on input productivities and elasticities,arm/trim_elas_decl.gms
elasType,Type of elasticities,capmod.gms
G0elem,Demand groups without artificial groups TOPL & FULL,global/load_literature_elas.gms
G1elem,Demand groups with artificial groups TOPL & FULL,global/load_literature_elas.gms
X1Gall,Demand side products including all groups and income and LEVL,global/load_literature_elas.gms
TYP,Type,arm/trimdem_decl.gms
RallPlus,All CAPRI regions of market model plus components,arm/trimdem_decl.gms
Dummy,Set of unknown purpose presumably for loading a gdx,captrdfrm.gms
ag_market,aglink product aggregates,baseline/aglink2024dgAgri_sets.gms
aglinkVersion,All Aglink versions that are potential choices for the baseline,baseline/aglink_versions.gms
PRIC,Prices assigned from Aglink are only UVAG but CAPTRD code uses this set,baseline/load_aglink2009.gms
aglinkCG,coarse grains,baseline/load_aglink2024dgAgri.gms
aglinkQdat,data positions,baseline/load_aglink2017dgAgri.gms
aglinkOCG,other coarse grains,baseline/load_aglink2024dgAgri.gms
dcows,dairy cow activities,baseline/load_aglink2024dgAgri.gms
agMacro,Aglink macro items offered in supplementary file,baseline/load_aglink2022dgAgri.gms
set_for_load_ssps,auxiliary to get items into universal set for loading,baseline/load_aglink2024dgAgri.gms
m_eq,extended set m_eq is mother set in CAPRI preocessing for aglink measures,baseline/mainsets_MTO2023.gms
scaleCols,primes related collumns to scale to 1000t,biofuel/biofuel_trends.gms
pCols,primes related collumns,biofuel/bio_trendsbf2.gms
pRows,primes related rows,biofuel/bio_trendsbf2.gms
auxCols,auxiliary columns to read PRIMES results,biofuel/biofuel_trends.gms
defaultBioStock,default biodiesel feedstock per member state,biofuel/calc_feedstock_share.gms
DemsPosit,Positive components to calculate domestic use from supply side,biofuel/palm_oil.gms
DemsNegat,Negative components to calculate domestic use from supply side,biofuel/palm_oil.gms
biofSource,biofuel sources used in coco1,biofuel/prepare_biofuel_data.gms
dgAgriPos,Bioethanol balance positions with info from DG Agri or Official Journal,biofuel/prepare_biofuel_data.gms
dgAgri2013Pos,Bioethanol balance positions with original info from DG Agri for 2013,biofuel/prepare_biofuel_data.gms
dgAgri1718Pos,Bioethanol balance positions with original info from DG Agri for 2017 and 2018,biofuel/prepare_biofuel_data.gms
BELU,Belgum and Luxembourg,biofuel/prepare_biofuel_data.gms
bioEtypes,bioethanol types are undenatured ALC1 and denatured ALC2,biofuel/prepare_biofuel_data.gms
bioStock_to_dgAgri,mapping single feedstocks with feedstock aggregates with DGagri info,biofuel/prepare_biofuel_data.gms
halfYr,first and second half of a year,biofuel/prepare_biofuel_data.gms
SET_Y_DNDC,Forecasted N sinks from DNDC,capdis/add_rows.gms
cYrs,Capri years for disaggregation,capdis/capdis_orderedsets.gms
dYrs,Disaggregation years with flag,capdis/capdis_orderedsets.gms
sannuperm,Differentiation of annual and permenent crop types,capdis/capdis_relevantsets.gms
sgroups,Dynamic grouping of activities,capdis/capdis_relevantsets.gms
hsudummy,set only to have the hsus orderred correctly,capdis/capdis_relevantsets.gms
fsu_all,All Farm structure spatial unitsi,capdis/capdis_relevantsets.gms
NFACT_POS,NFact positions,fert/fert_sets.gms
DISACT,capri Activities in Disaggregation,farmtype/fss2010_sets.gms
FEYD_GRP,Groups with regional variance of yield,capdis/sets/capdis_sets.gms
N2,all NUTS2 Codes in Gis Programme,capdis/capdis_sets.gms
SOLCROPS,Crop groups according to solagro,capdis/spat_hnv.gms
mmarshsuact,Mapping between MARS PESETA crop names and CAPRI,capdis/disyield_sets.gms
NGRP,Groups or single crops with same manure nitrogen share,reports/gases_thread.gms
EST_POS,Attributes of crop activities used in estimation of stocking density,capdis/est_stock_dens.gms
CLUC,Clue land cover classes,capdis/load_nuts_hsmsu_data.gms
CLUY,Clue years,capdis/load_nuts_hsmsu_data.gms
FEYD_MARS,Link between CAPRI and MARS activities,capdis/sets/capdis_sets.gms
m_sieco_cropuse,Mapping between energy content indicators and crop use,capdis/spat_eco.gms
m_siecobiom,Link between total energy content output and individual elements,capdis/spat_eco.gms
LANDDIVCAT,Crop groups for the land diversity indicator,capdis/spat_landdiv.gms
si_SLOSrusle,Rusle factors,capdis/spat_soillos_sets.gms
CFACTOR_MS,Member states for Soil Erosion Calculation,capdis/spat_soillos_sets.gms
Cmfactors,Cmanagement factors types,reports/def_cbalance.gms
empty,Necessary to load capmod values,capinv_collect.gms
A,Technologies,supply/supply_model_thread.gms
dummyTrd,dummy set to introduce items into universal set for loading or assigning,capmod.gms
lowupvars,variables with stored upper and lower bounds,capmod.gms
LandCatHilda,All land categories avaialble from HILDA and expressed in HILDA codes or labels,fao/fao_land_hilda.gms
weight,data sources and weights for data sources,capreg/cons_levls.gms
