,source
p_firstAndLastDay,RothC_soilRespiration.gms
p_impUValue,arm/AMAD_harmonization.gms
p_corLossRate,coco2.gms
Arita2015,arm/def_ntm.gms
p_ntm,arm/def_ntm.gms
p_AllenElasTransFac,arm/trim_elas_decl.gms
YLD0,arm/usa_pol.gms
BAS0,arm/usa_pol.gms
P_FacBiof,baseline/supports_biofuel.gms
P_SECGLEVL,baseline/supports_biofuel.gms
p_fuelElas,biofuel/fuel_price_transmission.gms
p_fracGraz,capdis/capdis_relevantsets.gms
region_shares,capdis/capdis_relevantsets.gms
p_inputDemandFactor,capdis/disyield_sets.gms
CN,capdis/meta_dndc.gms
UsedParts,capdis/meta_dndc.gms
p_CcFactorsData,reports/def_cbalance.gms
EF_R_NUTS,capreg/regio_sets.gms
p_FertContent,coco/coco1_eurostat.gms
p_Seed_Limit,coco/coco1_finish_raw.gms
p_MCNT,coco/coco1_milk.gms
p_STRA,coco/coco2_feed.gms
INSEE,coco/coco2_ilo_addup.gms
p_bufflim,envind/bufferStrips.gms
p_basFrance,compile_rdp_data/create_cap_fp_data.gms
ENER_CALC,enerind/enerind_top_bas.gms
Fert_inv,envind/CreateFertilizerInventory.gms
p_relRedNmax,envind/RedFert.gms
p_MCF,envind/ad_data_and_cali.gms
p_acttot,prep_gains_data_jul15.gms
p_actLiq,prep_gains_data_jul15.gms
p_vser,envind/ad_data_and_cali.gms
p_invCoeff,envind/ammo_tech.gms
p_addDemand,envind/ammo_tech.gms
p_inputCost,envind/ammo_tech.gms
p_costParAppl,envind/ammo_tech.gms
p_kgNPerM3,envind/ammo_tech.gms
p_remEff,envind/ammo_tech.gms
EMISCALC0,envind/create_rawdat_gascoeff_gdx.gms
p_shareClimZone0,envind/create_rawdat_gascoeff_gdx.gms
p_digestPar,envind/def_digestibility.gms
p_gasesOutputPerMinFert,envind/gascoeff.gms
p_emFactMinFertPrd,envind/gascoeff.gms
p_dieselPrice,envind/gascoeff.gms
p_NO_shareHistSoil,envind/def_gascoeff.gms
Properties,envind/enerLca.gms
p_envConst1,envind/envConstraints.gms
p_featCharShares,envind/landscape.gms
p_m3PerHead,envind/load_cap_fp_data.gms
p_kgNPerM3Man,envind/load_cap_fp_data.gms
p_haPerHead,envind/load_cap_fp_data.gms
p_bufflimit,envind/load_cap_fp_data.gms
p_sizeControl,envind/prep_farm_size_data_for_miti.gms
p_corLSUfactor,envind/prep_farm_size_data_for_miti.gms
p_procCoefBounds,fao/fao_balance_consolidation.gms
p_hilda_breaks_fao,fao/fao_correct_data_jumps.gms
p_distance,global/estimate_transportcosts.gms
olives,inputs/sgm.gms
p_NutContManureKgM3,feed/feed_decl.gms
p_reqfcnlim,feed/feed_decl.gms
IFA_FERT,fert/fert_capdis_decl.gms
p_nitrBalance,fert/fertpar.gms
p_nitrFact,fert/fertpar.gms
p_geoData,global/estimate_transportcosts.gms
p_DistEner,inputs/dist_input.gms
p_estInputDemandCoef,inputs/fill_inp_matrix.gms
p_premDataE,pol_input/mtrstd.gms
p_mac_info_lucas,pol_input/greendeal/oth_pol.gms
p_pikScen30avg,pol_input/agmip/agclim50iii_ylds.gms
PPQuotas,pol_input/dairy_quotas_agenda.gms
p_expectedTrade,pol_input/mtr_rd_modArm.gms
p_tlinecuts_aux,pol_input/fta/tariffline_cuts.gms
p_tline_qchange,pol_input/fta/tariffline_cuts.gms
p_prelimcalo,pol_input/greendeal/diets.gms
p_co2pri2015,pol_input/greendeal/oth_pol.gms
p_percAffByModulation,pol_input/mtrstd.gms
YieldRelation,pol_input/liaise/liaise_scen.gms
PMQuotaReg,pol_input/mquota_update.gms
P_1782_2003_ANNEX_VIII,pol_input/mtr_until2013.gms
P_1782_2003_ANNEX_VIIIa,pol_input/mtr_until2013.gms
p_73_2009_ANNEX_IV,pol_input/mtr_until2013.gms
p_2011_0280_AnnexII,pol_input/mtr_hc.gms
p_maxFactorLevlData,pol_input/outlook2022/max_factor_levl_.gms
