,price
SWHE,170.64272727272726
DWHE,205.1052403846154
RYEM,152.7075
BARL,149.40133333333333
OATS,127.49444444444445
CORN,132.303
OCER,117.82642857142858
RAPE,90.01222222222222
SUNF,65.836
SOYA,75.17500000000001
SUGB,137.41384615384615
POTA,133.14357142857142
PULS,73.343125
TOMA,33.465
OVEG,30.828785714285715
APPL,52.15833333333333
CITR,177.985
OFRU,24.444285714285716
TAGR,217.98125
WINE,95.46444444444444
OLIV,49.47222222222222
DCOW,869.4225595238095
PIGS,904.94
PIGF,844.72
LAYS,688.1999999999999
BROI,748.2
BCOW,844.05
SHGP,782.525
TOBA,43.775
COTT,43.62833333333333
OFIB,200.0
GRAS,40.0
MAIF,35.0
OFOD,55.0
SETA,0.0
BULL,1400.0
HFRS,900.0
CALV,300.0
OANI,8.0
OOIL,280.0
